doc_id,category,title,body,near_dup_of,edit_kind
KB022,payments,Gift cards and store credit,"Gift cards are delivered by email within fifteen minutes of purchase and never expire. Store credit is applied automatically at checkout before any card is charged. Neither gift cards nor store credit can be converted back into cash, and a lost gift card code cannot be replaced.",,
KB023,payments,Is my card data stored securely?,Card numbers never touch our servers. Payment details go directly to our payment processor over an encrypted connection and we only keep a token and the last four digits so you can recognise a saved card. You can delete a saved card from the payment methods page at any time.,,
KB024,account,Resetting your password,"Use the forgot password link on the sign in page. The reset email arrives within a few minutes and the link inside it is valid for one hour. If the email does not arrive, check the spam folder and confirm you are using the address the account was created with. Requesting a second reset email invalidates the first link.",,
KB025,account,Changing your email address,"Change the email address on the profile page in account settings. We send a confirmation link to the new address and the change only takes effect once that link is clicked. Order history, store credit, and saved addresses all move with the account and are not affected.",,
KB026,account,Turning on two factor authentication,"Two factor authentication is enabled from the security page in account settings. Scan the code with any authenticator app and save the ten recovery codes somewhere safe. Recovery codes are the only way back into the account if you lose the phone, and each one works exactly once.",,
KB027,account,Deleting your account,"Account deletion is requested from the privacy page in account settings and takes effect after a seven day grace period, during which signing in cancels the request. Deletion removes your profile, saved addresses, and saved payment tokens. Order records are retained for the period required by tax law and cannot be deleted on request.",,
KB028,account,Managing marketing emails,"Marketing preferences live on the notifications page in account settings, where each list can be turned off independently. Unsubscribing from marketing does not stop transactional email such as order and shipping confirmations, which are part of the service and cannot be turned off while you have open orders.",,
KB029,account,Saved addresses and default shipping address,You can store as many delivery addresses as you like on the addresses page and mark one as the default. The default address is preselected at checkout but can be changed on the order. Editing a saved address does not change the address on an order that has already been placed.,,
KB030,account,I did not get my order confirmation email,"Order confirmations are sent within a few minutes of checkout. If one is missing, check the spam folder first, then confirm the address on the profile page is correct and current. The confirmation is always available on the order page in your account whether or not the email arrived.",,
KB031,product_care,Caring for leather goods,"Wipe leather with a barely damp cloth and let it dry away from direct heat. Condition twice a year with a neutral cream and never use household detergent, which strips the finish. Leather darkens with use and small variations in grain are a feature of the material rather than a defect.",,
KB032,product_care,Washing merino wool,"Wash merino on a wool cycle at thirty degrees with a wool safe detergent, or by hand in cool water. Do not tumble dry. Press the water out without wringing and dry flat, because hanging a wet wool garment stretches the shoulders permanently. Merino only needs washing every few wears.",,
KB033,product_care,Battery care for cordless devices,Lithium batteries last longest when kept between twenty and eighty percent charge and away from heat. Storing a device fully discharged for months can put the cell into a state the charger will not recover. Run the battery down fully once every few months so the charge gauge stays accurate.,,
KB034,product_care,Cleaning a non stick pan,"Let the pan cool before washing, then use a soft sponge and warm soapy water. Metal utensils, abrasive pads, and the dishwasher all shorten the life of a non stick coating. Heating an empty non stick pan on a high burner is the fastest way to ruin it.",,
KB035,product_care,Storing seasonal clothing,"Wash everything before storing, because body oils attract moths and set into stains over a season. Fold knitwear rather than hanging it and use breathable cotton bags instead of plastic, which traps moisture. Cedar blocks deter moths and should be sanded lightly each year to refresh the scent.",,
KB036,product_care,Warranty coverage and what voids it,"Products carry a two year warranty against manufacturing defects from the delivery date. Normal wear, accidental damage, and damage caused by unauthorised repair are not covered. Register the product in your account so the warranty start date is on file, then claim from the order page with photographs of the fault.",,
KB037,shipping,Standard delivery times,Standard shipping typically shows up within four to six working days after your order leaves our fulfilment centre. Orders placed after 2 PM ship the next business day. Delivery estimates do not include weekends or public holidays. You will receive a shipping confirmation email with a tracking number as soon as the package is handed to the carrier.,KB001,synonym_swap
KB038,returns,Starting a return,"Start a return from the order page in your account within thirty days of shipment. Print the prepaid return label, pack the item in its original packaging, and drop it at any carrier location. Refunds are issued once the fulfilment centre inspects the item, which typically takes three to five working days after it shows up.",KB009,synonym_swap
KB039,payments,Payment declined at checkout,"A decline is nearly always a decision made by your bank rather than by us. Check that the billing address matches your statement exactly, that the card has not expired, and that the card is enabled for online purchases. If it still declines, call the number on the back of the card. Repeated attempts can trigger a temporary block on the card.",KB017,synonym_swap
KB040,shipping,Where is my order?,"This article explains how to follow an order once it has left us. Tracking can take up to twenty four hours to show its first scan after the carrier collects the parcel. Every shipment gets a tracking number, which appears in your shipping confirmation email and on the order page in your account.",KB002,reorder_trim
KB041,account,I cannot sign in,"Locked out of your account? Start here. The reset email arrives within a few minutes and the link inside it is valid for one hour. If the email does not arrive, check the spam folder and confirm you are using the address the account was created with. Use the forgot password link on the sign in page.",KB024,reorder_trim
KB042,returns,Refund timing at a glance,"Refunds are issued to the original payment method once the warehouse inspects the returned item. The refund leaves us within one business day of inspection, and the bank then takes a further three to five business days to post it to your statement. See the full returns policy for the details.",KB014,excerpt
KB043,product_care,Merino wash instructions,"Wash merino on a wool cycle at thirty degrees with a wool safe detergent, or by hand in cool water. Do not tumble dry. The care label on the garment always takes precedence.",KB032,excerpt
KB044,payments,Accepted cards and wallets,"We accept Visa, Mastercard, and American Express, plus PayPal, Apple Pay, and Google Pay. Store credit and gift cards can be combined with any card at checkout. Payment options are confirmed again on the checkout page.",KB016,excerpt
