doc_id,category,title,text
NW0011,returns-refunds,Returning an item bought in a retail store,Merchandise purchased at one of our five retail locations must go back to a store; warehouse staff cannot look up in-store tenders. Bring the paper or emailed receipt within thirty days.
NW0012,returns-refunds,Return status tracking,"Once the carrier scans your return label the Orders page shows Return in transit. It changes to Return received when the warehouse checks the parcel in, and to Refunded when the money is released. Each transition also sends an email."
NW0013,returns-refunds,Refunds on cancelled orders,An order cancelled before it enters the picking queue never captures the payment; the pending authorisation on your card simply drops off in three to seven days depending on your bank. Nothing is refunded because nothing was charged.
NW0014,returns-refunds,Restocking fees,We charge no restocking fee on any product. The only deductions ever applied to a refund are the $6.95 return shipping fee and the ten percent footwear deduction for boots sent back without the box.
NW0015,returns-refunds,Returning bulk or team orders,"Orders of ten or more identical units placed through the team sales desk fall outside the standard sixty day window. Team orders are covered by the written terms attached to your quote, which is usually thirty days and requires an authorisation number from your account manager before shipping anything back. Sending a team order to the warehouse without that number delays the credit by weeks because the receiving team has no way to match the cartons to your account."
NW0016,shipping-delivery,Standard delivery times,"Standard ground delivery reaches most addresses in the contiguous United States in three to six business days. Orders placed before 2:00 PM Pacific on a business day are picked the same day. Alaska, Hawaii, and Puerto Rico add four to seven business days."
NW0017,shipping-delivery,Expedited and overnight options,"Two-day and overnight service are offered at checkout on any in-stock item. The cut-off for both is 12:00 PM Pacific, Monday to Friday. An overnight order placed at 12:05 PM Friday ships Monday and arrives Tuesday, so the promise is business days in transit, not calendar days."
NW0018,shipping-delivery,Free shipping threshold,Ground shipping is free on orders over $75 after discounts and before tax. Trailhead loyalty members get free ground shipping with no minimum.
NW0019,shipping-delivery,International shipping,"We ship to Canada, the United Kingdom, Ireland, Germany, France, and Australia. International delivery takes seven to fourteen business days. Duties and import taxes are collected at checkout under a delivered-duty-paid arrangement, so nothing further is owed to the carrier at the door. Certain items, including compressed fuel canisters, lithium battery packs above 100 watt-hours, and bear spray, cannot cross the border and are removed from an international cart automatically."
NW0020,shipping-delivery,Shipping to a PO box or APO address,PO boxes and APO/FPO military addresses are served by postal ground service only; expedited options are hidden for those addresses. Allow up to twenty-one days for APO destinations.
NW0021,shipping-delivery,Changing the delivery address after ordering,An address can be edited only while the order status is Processing. Once it reads Picking the label is already printed and the address is locked. In that case refuse the delivery or use the carrier's own redirect tool with the tracking number.
NW0022,shipping-delivery,Split shipments,When part of your order is in the Reno warehouse and part is in Columbus we ship each part as it is ready rather than holding everything. You are charged shipping once. Each parcel gets its own tracking number and its own delivery email.
NW0023,shipping-delivery,Package marked delivered but not received,"Carriers occasionally scan a parcel as delivered up to a day before it physically arrives, so wait twenty-four hours and check with neighbours and building staff first. If it is still missing, file a claim from the order page. We ship a replacement immediately for orders under $250 and open a carrier investigation for anything higher, which takes eight business days to resolve."
NW0024,shipping-delivery,Signature requirements,Any order over $400 ships with an adult signature required. You cannot waive this at checkout. If nobody is home the carrier makes three attempts and then holds the parcel at a local depot for five days before returning it to us.
NW0025,shipping-delivery,Delivery to a locker or pickup point,At checkout choose Ship to pickup point and enter a postcode to see nearby lockers and staffed counters. Lockers hold a parcel for three days; staffed counters hold it for seven.
NW0026,shipping-delivery,Weather and carrier delays,"Severe weather, wildfire closures, and carrier network backlogs can add days to a shipment already in transit. We do not refund expedited shipping charges for delays outside our control once the parcel has left the warehouse, but we do refund them when the delay happened before the first carrier scan."
NW0027,shipping-delivery,Oversize item delivery,"Canoes, rooftop cargo boxes, and expedition duffels above sixty inches ship by freight rather than parcel. Freight carriers telephone to arrange a four-hour delivery window and deliver to the kerb, not inside the building. Allow ten to fifteen business days and make sure the phone number on the order is one you will answer, because two missed scheduling calls send the item back to the depot."
NW0028,shipping-delivery,Hazardous materials restrictions,"Stove fuel, aerosol repellent, and bear spray travel by ground only and never by air. Adding one of these to a cart removes the two-day and overnight choices for the whole order."
NW0029,shipping-delivery,Shipping insurance,Every parcel is insured for its full value at our cost. There is no optional insurance to buy and no line item for it at checkout.
NW0030,order-tracking,Finding your tracking number,"Every order number begins with the prefix NW- followed by eight digits, for example NW-40518226. Open Orders, click the order, and the carrier tracking number sits under the shipment heading. The same number is in the It has shipped email."
NW0031,order-tracking,What each order status means,"Processing means payment is authorised and the order is queued. Picking means a warehouse associate is collecting the items. Packed means it is boxed and labelled but not yet handed over. Shipped means the carrier has scanned it. Delivered comes from the carrier's own scan, not from us."
NW0032,order-tracking,Tracking has not updated in days,"A tracking number goes quiet during long ground legs, particularly between regional hubs over a weekend. Three days of silence is normal; five is not. After five days with no scan, contact us and we will open a trace with the carrier."
NW0033,order-tracking,Tracking a guest order,Orders placed without an account are traced from the Guest order lookup page using the order number and the email address on the order. No password is involved.
NW0034,order-tracking,Cancelling an order,"Self-service cancellation is available on the order page while the status is Processing, which is usually the first ninety minutes. After that the order cannot be stopped and must be returned once it arrives."
NW0035,order-tracking,Order confirmation email did not arrive,"Check the spam folder and confirm the address on the order, since a mistyped address is the usual cause. If the order appears in your account the order itself is fine regardless of the email. Resend the confirmation from the order page."
NW0036,order-tracking,Backordered items,An item can be oversold when two customers reach checkout at the same second. When that happens we email a revised ship date within a day. You may keep the backorder or cancel that line for a refund; the rest of the order ships on schedule.
NW0037,order-tracking,Combining two orders,Separate orders cannot be merged after checkout because each one already holds its own inventory allocation and its own payment authorisation.
NW0038,order-tracking,Editing items on a placed order,"Items, quantities, and sizes on a placed order cannot be edited. Cancel while the order is still Processing and reorder, or return the unwanted item after delivery."
NW0039,order-tracking,Order history export,"Account settings has an Export order history control that emails a CSV of every order, line item, and refund on the account, which is useful for expense reporting."
NW0040,payments-billing,Accepted payment methods,"We accept Visa, Mastercard, American Express, and Discover, plus PayPal, Apple Pay, Google Pay, Northwind gift cards, and store credit. Two methods can be combined only when one of them is a gift card or store credit."
NW0041,payments-billing,Card declined at checkout,"A decline is a message from your issuing bank, not from us, and we are never told the reason. The usual causes are a billing address that does not match the card record, an expired card, insufficient funds, or a fraud rule triggered by an unfamiliar merchant. Re-enter the billing address exactly as it appears on your statement, including apartment number and postcode. If it declines a second time, call the number on the back of the card and ask them to authorise the merchant, then try again."
NW0042,payments-billing,Why you see two charges,"At checkout we place an authorisation hold for the order total. The actual capture happens when the parcel ships. For a day or two both the hold and the capture can appear in online banking, which looks like a double charge. The hold drops off by itself within three to seven days and you are only ever billed once."
NW0043,payments-billing,Sales tax,"Sales tax is calculated from the shipping address and appears on the checkout review screen before you confirm. Rates come from the state, county, and municipal rules in force on the order date, so two addresses in the same city can be taxed differently."
NW0044,payments-billing,Tax-exempt purchasing,"Registered non-profits, schools, and resellers can buy tax free. Upload the exemption certificate in account settings and wait for review, which takes two business days. Exemption cannot be applied retroactively to an order already placed."
NW0045,payments-billing,Getting an invoice or receipt,"A PDF invoice showing the tax breakdown and our tax registration numbers is downloadable from any shipped order. The emailed confirmation is an order acknowledgement, not a tax invoice."
NW0046,payments-billing,Buy now pay later,"Instalment payment through our financing partner is offered at checkout on orders between $50 and $2,000. Approval is a soft credit check that does not affect your score. Instalment orders cannot be combined with a gift card, and a returned instalment order unwinds the remaining payments once the refund clears."
NW0047,payments-billing,Currency of charge,All prices and charges are in United States dollars. International customers are billed in dollars and their card issuer applies its own conversion rate plus any foreign transaction fee.
NW0048,payments-billing,Saved cards and security,"We never store a full card number. Saved cards live with our payment processor as a token; the account page shows only the brand, the last four digits, and the expiry."
NW0049,payments-billing,Updating a card on a subscription,"Gear-club subscriptions bill on the same day each month. Change the card in Subscriptions at least two days before the billing date, because a card changed on the billing date itself may not be picked up by that cycle."
NW0050,payments-billing,Failed subscription payment,"When a subscription payment fails we retry on days three, five, and nine. After the third failure the subscription is paused rather than cancelled, so your pricing and any accumulated benefits survive; updating the card reactivates it immediately."
NW0051,payments-billing,Price adjustment after a price drop,If an item you bought at full price drops in price within fourteen days we refund the difference to the original payment method. Request it from the order page. Price adjustments do not apply to items that fall in price as part of a sitewide promotional event.
NW0052,payments-billing,Fraudulent charge on your statement,"A charge from NORTHWIND OUTFITTERS you do not recognise should be reported the same day. Contact us with the amount, the date, and the last four digits of the card. Our fraud team can match or rule out the transaction within one business day, and you should independently notify your bank."
NW0053,payments-billing,Corporate purchase orders,Approved corporate accounts may pay on net-30 terms against a purchase order. Apply through the business sales desk; approval requires two trade references.
NW0054,account-login,Resetting your password,"Choose Forgot password on the sign-in page and enter the email on the account. The reset link is valid for thirty minutes and can be used once. If it expires, request another rather than reusing the old email, because a stale link produces error ERR-402 rather than a helpful message."
NW0055,account-login,Two-factor authentication codes not arriving,"SMS codes usually arrive within thirty seconds. Delays are almost always carrier-side. Check that the number in your profile is current, that the handset has signal, and that short-code messages are not blocked. An authenticator app is more reliable than SMS and works with no signal at all; switch in Security settings. Ten single-use backup codes are generated when you enable two-factor authentication, and any one of them will get you in when the phone is unavailable."
NW0056,account-login,Changing the email address on your account,Update the address in Profile. A confirmation link goes to the new address and the change takes effect only when you click it. The old address receives a notice so that an unauthorised change is visible.
NW0057,account-login,Account locked after failed sign-ins,Ten consecutive failed sign-ins lock the account for thirty minutes. The lock clears on its own; there is no need to contact us. A successful password reset also clears it immediately.
NW0058,account-login,Deleting your account and data,"Request deletion in Privacy settings. We remove your profile, addresses, and saved payment tokens within thirty days. Order and tax records are retained for seven years because tax law requires it, but they are unlinked from your profile and no longer used for marketing."
NW0059,account-login,Downloading a copy of your data,"Privacy settings offers a data export. We assemble a ZIP of your profile, orders, reviews, and support conversations and email a download link within seven days. The link expires after 72 hours."
NW0060,account-login,Merging duplicate accounts,Two accounts created with different email addresses cannot be merged automatically. Contact support and name the account you want to keep; we transfer order history and loyalty points and close the other.
NW0061,account-login,Signing in with Google or Apple,"Social sign-in is supported for Google and Apple. If you originally registered with an email and password and later use Google with the same address, the accounts link automatically."
NW0062,account-login,Managing marketing emails,"Email preferences are per-topic: new arrivals, sale events, trip reports, and loyalty news can be toggled independently. Transactional messages such as order confirmations and shipping notices cannot be switched off while an order is open."
NW0063,account-login,Trailhead loyalty programme,"Membership is free. Members earn four percent back as store credit, get free ground shipping with no minimum, free return shipping, and early access to sale events. Credit posts on the first of the month following a purchase and expires twelve months after it is issued."
NW0064,account-login,Address book limits,An account holds up to twenty saved addresses. Delete an old one before adding another. The default address is only a checkout convenience and can be changed on any order.
NW0065,account-login,Suspicious sign-in alert,"We email an alert when an account is accessed from a new device or an unfamiliar country. If it was not you, reset the password immediately and revoke other sessions from Security settings, which signs out every device except the one you are using."
NW0066,sizing-fit,How to use the size charts,"Every product page has a Size guide link that opens the chart for that specific style. Charts give body measurements, not garment measurements, so measure yourself and match the number rather than guessing from the size you usually wear."
NW0067,sizing-fit,"Measuring your chest, waist and inseam","Measure the chest at its fullest point with the tape level and the arms down. Measure the natural waist at the narrowest part of the torso, not at the belt line. Measure the inseam on a pair of trousers that already fit rather than on your leg, from the crotch seam to the hem."
NW0068,sizing-fit,Between two sizes,"Size up when you plan to wear insulating layers underneath, and size down for a close-fitting base layer that has to work against the skin. The fit note on each product page says whether that style runs small, large, or true to size."
NW0069,sizing-fit,Jackets that run small,Our alpine shells are cut in an athletic fit and most customers find them one size small through the chest and shoulders. The Cascade and Ridgeline series in particular should be ordered one size up if you are between sizes or intend to wear a fleece mid-layer underneath. Our insulated parkas are cut generously and run true to size.
NW0070,sizing-fit,Boot sizing and width,"Hiking boots are built on a last that runs about half a size small, so order half a size above your everyday shoe. Feet swell on the trail, and a thicker sock adds volume; both argue for the larger size. Wide fittings are made in the Summit and Traverse lines only. Try boots on late in the day with the socks you will actually hike in, and check that your heel does not lift when you walk a slope. If your toes touch the front on a downhill you are half a size too small."
NW0071,sizing-fit,Women's versus men's sizing,"Women's styles are cut with a narrower shoulder, a shaped waist, and a shorter sleeve than the men's equivalent of the same nominal chest measurement. They are not the same garment relabelled. Use the chart for the cut you are buying."
NW0072,sizing-fit,Youth and children's sizes,"Youth sizes run from 6 to 16 and are indexed to height rather than age. Growth room is already built into outerwear, so buying an extra size on top usually produces a jacket that fits badly for a year and is outgrown anyway."
NW0073,sizing-fit,Tall and short inseam options,"Trousers in the Journey and Basecamp lines come in short, regular, and tall inseams. Where a style offers only one inseam the length is given in the chart so you can plan a hem."
NW0074,sizing-fit,Backpack torso length,"Pack size is set by torso length, not by height. Measure from the C7 vertebra at the base of the neck to the top of the hip bones. Under 17 inches takes a small, 17 to 19.5 a medium, and above that a large. Hip belts are sold separately in three sizes."
NW0075,sizing-fit,Glove and hat sizing,Measure the hand around the knuckles excluding the thumb; that number in inches is the glove size. Hats are measured around the head just above the ears.
NW0076,sizing-fit,Sleeping bag length,Regular bags fit up to 6 feet and long bags up to 6 feet 6 inches. A bag much longer than you need sleeps colder because your body has to heat the extra air.
NW0077,sizing-fit,Fit feedback from reviews,The fit bar under the review summary aggregates what buyers reported about a style. When more than sixty percent say runs small we also add a fit note to the product description.
NW0078,product-care,Washing a down jacket,"Wash down in a front-loading machine with no agitator, using a down-specific cleaner rather than ordinary detergent, which strips the natural oils from the plumage. Run a warm gentle cycle and then a second rinse. Tumble dry on low with three clean tennis balls for two to three hours; the down will look hopelessly clumped until it is completely dry, and stopping early leaves damp clumps that smell. Never dry-clean down and never wring it out wet, because saturated down is heavy enough to tear its own baffles."
NW0079,product-care,Restoring water repellency on a shell,"A waterproof-breathable shell wets out when the durable water repellent finish on the face fabric wears off. The membrane is usually still fine. Wash the garment in a technical cleaner, then either tumble dry on low for twenty minutes or press with a warm iron under a cloth to reactivate the existing finish. When heat alone stops working, apply a wash-in or spray-on reproofing treatment. Spray-on treats only the outside and keeps the inside breathable, which is the better choice for a lined jacket."
NW0080,product-care,Washing technical base layers,"Merino and synthetic base layers go in a warm wash with a mild liquid detergent. Skip fabric softener, which coats the fibres and destroys wicking. Dry flat or tumble on low."
NW0081,product-care,Caring for waxed cotton,"Waxed cotton is never machine washed. Brush off dirt, sponge with cold water, and hang to dry. Rewax annually with a proofing bar warmed with a hairdryer."
NW0082,product-care,Cleaning hiking boots,"Knock off dry mud, remove the insoles and laces, and scrub with a soft brush and plain water. Leather conditioner goes on while the leather is still slightly damp. Dry boots away from direct heat: a radiator or a campfire cracks leather and can unglue a midsole."
NW0083,product-care,Storing a sleeping bag,"Store a sleeping bag loose in the large cotton sack it came with, or hung in a cupboard. Months in the compression sack crush the loft permanently and cost you warmth you paid for."
NW0084,product-care,Cleaning a hydration bladder,"Rinse after every use, and once a month clean with a cleaning tablet or a teaspoon of bicarbonate of soda in warm water. Dry it fully open with a wire hanger inside; a bladder stored damp grows mould in the bite valve and the tube first."
NW0085,product-care,Tent care and drying,"Never pack a tent away wet, even for a day. Pitch it or hang it until every seam is dry. Clean with a sponge and cold water only; detergent and long sun exposure both break down the polyurethane coating on the floor, which is what eventually delaminates."
NW0086,product-care,Zipper maintenance,"Grit is what kills zippers. Rinse coil zippers after a dusty or sandy trip and lubricate with a zipper wax or a graphite pencil rather than an oil, which attracts more grit."
NW0087,product-care,Removing odour from synthetic gear,"Odour in synthetics comes from bacteria in the fibre, not from surface dirt, so a hotter wash does not fix it. Soak for half an hour in a sport-wash product designed to break down body oils, then wash normally."
NW0088,product-care,Repairing a small tear in a shell,A tear under two inches is fixed with an adhesive repair patch cut round-cornered so it does not peel. Clean the area with alcohol first. Round corners matter more than patch size.
NW0089,product-care,Caring for a climbing rope,"Wash a rope by hand in cool water with a rope-specific soap, then dry it out of sunlight over several days. Never step on a rope, because grinding grit through the sheath abrades the core you cannot inspect."
NW0090,product-care,Down versus synthetic insulation upkeep,Synthetic insulation tolerates damp and washes easily but loses loft after a few seasons of compression. Down lasts decades if kept dry and stored uncompressed but collapses when wet and takes real effort to wash. Choosing between them is largely a choice about how much maintenance you will actually do.
NW0091,warranty-repairs,What the warranty covers,"Every product carries a limited lifetime warranty against defects in materials and workmanship. That covers seams that fail, delaminating membranes, zipper sliders that separate, and hardware that breaks under normal use. It does not cover ordinary wear, abrasion, accidental damage, or a bear."
NW0092,warranty-repairs,Filing a warranty claim,"Open a claim from the Warranty page. You need clear photographs of the fault, of the care label, and of the whole item, plus the order number if you have it. Our repair team responds within three business days with a decision and, where the claim is accepted, a prepaid label to our Boulder repair centre. Claims without photographs of the care label cannot be assessed because the label carries the production lot we use to identify the batch."
NW0093,warranty-repairs,Warranty without a receipt,A receipt helps but is not required. If the purchase is not in our records we assess the item on its condition and production lot code alone.
NW0094,warranty-repairs,Repair turnaround time,"Repairs take two to four weeks in the ordinary run of the year and six to eight weeks between October and December, when the queue is longest. You are emailed when the item arrives, when work starts, and when it ships back."
NW0095,warranty-repairs,Cost of out-of-warranty repairs,"Damage the warranty does not cover is still repaired, at cost. A zipper slider replacement is $25, a full zipper is $60 to $95 depending on length, patching a tear is $20, and re-taping seams starts at $45. We quote before doing any work and never proceed without approval."
NW0096,warranty-repairs,Replacement rather than repair,When an item cannot be repaired we replace it with the current equivalent model. If that model costs more we do not charge the difference; if it costs less we do not refund it. Discontinued items are settled as store credit at the original purchase price.
NW0097,warranty-repairs,Broken backpack zipper,"A failed zipper is the single most common claim we see. A slider that no longer closes the teeth behind it is a warranty repair. Teeth that are bent, missing, or torn out of the tape are usually impact damage and are repaired at cost. Send the whole pack, not the zipper, and empty every pocket first."
NW0098,warranty-repairs,Tent pole and fabric repairs,"We repair tent floors, fly fabric, and mesh. Poles are replaced by section rather than repaired; give us the model, the year, and the section number printed near the ferrule."
NW0099,warranty-repairs,Boot resoling,Full-grain leather boots built on a welted construction can be resoled twice. Cemented lightweight hikers cannot. The product page states which construction a boot uses. Resoling costs $110 to $150 and takes four to six weeks.
NW0100,warranty-repairs,Warranty on sale and outlet items,Sale and outlet goods carry the same limited lifetime warranty as full-price goods. Items sold as Second Quality with a marked cosmetic flaw are warranted against defects other than the disclosed flaw.
NW0101,warranty-repairs,Transferring a warranty,"The warranty follows the product, not the purchaser, so second-hand gear is still covered. Without an order record we assess on condition and lot code."
NW0102,warranty-repairs,Do-it-yourself repair kits and guides,"The Repair Hub sells patch kits, zipper sliders, buckle spares, and pole splints, and publishes step-by-step guides. A repair you do yourself does not void the warranty on the rest of the item."
NW0103,gift-cards-promos,Checking a gift card balance,Enter the sixteen-digit card number and the four-digit PIN from the back of the card on the Gift cards page to see the remaining balance and the full transaction history.
NW0104,gift-cards-promos,Gift cards never expire,Northwind gift cards carry no expiry date and no dormancy fee. Balances remain valid indefinitely.
NW0105,gift-cards-promos,Using more than one gift card,Up to five gift cards can be applied to a single order. Any remainder is charged to the payment method on the order.
NW0106,gift-cards-promos,Lost or stolen gift card,"A registered gift card can be cancelled and reissued for the remaining balance. An unregistered card is treated like cash and cannot be replaced, which is why registering it at purchase is worth the minute it takes."
NW0107,gift-cards-promos,Promo code not applying at checkout,"The usual reasons a code is refused are that the cart is below the minimum spend, that the basket contains excluded items such as gift cards or Final Sale clearance, that the code has already been used on the account, or that it has simply expired. Only one promotional code may be applied per order; loyalty store credit is not a promotional code and stacks freely with one."
NW0108,gift-cards-promos,Refunds on orders paid with a gift card,"A refunded order paid by gift card returns the money to a new gift card issued to the same email address. Where a card and a payment card were combined, the gift card portion is refunded first."
NW0109,gift-cards-promos,Digital versus physical gift cards,Digital cards are emailed within fifteen minutes and can be scheduled up to a year in advance. Physical cards ship free by standard post and take three to six business days.
NW0110,gift-cards-promos,Student and military discounts,"Verified students, active-duty military, veterans, and first responders receive fifteen percent off full-price items. Verification runs through a third-party service and lasts twelve months. This discount cannot be combined with a promotional code."
NW0111,gift-cards-promos,Price matching,"We match the advertised price of an identical in-stock item at a named competing retailer within seven days of purchase. Marketplace sellers, auction listings, and membership-only pricing are excluded."
NW0112,gift-cards-promos,Referral credit,Refer a friend and you both receive $20 in store credit once their first order over $75 ships. Credit posts within five days of that shipment.
NW0113,gift-cards-promos,Sale event early access,"Trailhead members shop major sale events twenty-four hours before they open publicly. Early access prices are identical; the advantage is stock, not price."
NW0114,website-technical,Supported browsers,"The site supports the two most recent versions of Chrome, Firefox, Safari, and Edge. Older browsers still render the catalogue but checkout may fail silently because the payment frame requires a modern TLS stack."
NW0115,website-technical,Checkout error ERR-402,"Error ERR-402 at checkout means the payment session expired before you confirmed, usually because the page sat idle for more than twenty minutes. Nothing was charged. Refresh, sign in again, and re-place the order. If ERR-402 repeats immediately, clear cookies for our domain, since a stale session cookie is the second most common cause."
NW0116,website-technical,Cart empties itself,"The cart lives in a browser cookie for guests and on the server for signed-in shoppers. A guest cart disappears when cookies are cleared, when a private window is closed, or after thirty days. Signing in before you shop keeps a cart across devices."
NW0117,website-technical,Images or pages not loading,Blank product images are almost always a corporate proxy or an ad blocker filtering our image content-delivery network. Try a private window with extensions off before assuming the site is down.
NW0118,website-technical,Mobile app sync issues,"The app caches the catalogue for offline browsing and refreshes on launch. If prices or stock look stale, pull down to refresh on the home screen, or sign out and back in to force a full resync."
NW0119,website-technical,Accessibility features,"The site targets WCAG 2.1 level AA. Every product image carries descriptive alt text, the whole checkout is keyboard navigable, and colour is never the only carrier of meaning. Accessibility problems reported to us are triaged within five business days."
NW0120,website-technical,Search returns no results,"Our search handles common misspellings but not every one. Try fewer words and drop qualifiers: search for the product family rather than a full sentence. Filters persist between searches, so a leftover size or colour filter is a frequent cause of an empty result set."
NW0121,website-technical,Saving a wishlist,Signed-in shoppers can keep multiple named wishlists and share one with a link. Wishlists do not hold stock and do not lock in a price.
NW0122,website-technical,Stock notifications,"Notify me on a sold-out size emails you once when it is restocked. Notification is not a reservation, and popular restocks can sell out within the hour."
NW0123,website-technical,Product reviews policy,"Only verified purchasers can review, and we publish critical reviews unedited. Reviews are removed only for profanity, personal information, or off-topic content, and we never remove a review for being negative."
NW0124,website-technical,Reporting a bug or a price error,"Report site bugs and obvious price errors through the Contact form with a screenshot and the page address. We are not obliged to honour an obvious mispricing, but the person who reports one first receives a $25 credit."
NW0125,returns-refunds,Return window (2026 revision),"Most items bought from Northwind Outfitters can be returned within ninety days of the delivery date for a full refund to the original payment method. The item must be unworn, unwashed, and carry its original hang tags. Start the return from the Orders page of your account; we will email a prepaid label within one business day."
NW0126,shipping-delivery,Standard delivery estimates (updated),"Standard ground delivery reaches most addresses in the contiguous United States in three to five business days. Orders placed before 2:00 PM Pacific on a business day are picked the same day. Alaska, Hawaii, and Puerto Rico add four to seven business days."
NW0127,payments-billing,Payment options we accept,"We accept Visa, Mastercard, American Express, and Discover, plus PayPal, Apple Pay, Google Pay, Northwind gift cards, and store credit. Two methods can be combined only when one of them is a gift card or store credit."
NW0128,warranty-repairs,Scope of the limited lifetime warranty,"Every product carries a limited lifetime warranty against defects in materials and workmanship. That covers seams that fail, delaminating membranes, zipper sliders that separate, and hardware that breaks under normal use. It does not cover ordinary wear, abrasion, or accidental damage."
