id,split,slice,label,text
40,train,simple,0,it disconnects from my laptop constantly updating this review later
41,val,simple,0,bought during the autumn sale the warranty claim has been open for six weeks updating this review later
42,test,simple,1,i have used it daily since march support answered within an hour will report back after the winter
43,train,simple,1,i have used it daily since march the mounting bracket lines up perfectly
44,train,simple,0,the carrying case tore at the seam ordered through the app
45,train,simple,1,buying for a home office the weight is far lower than i expected
46,test,simple,1,ordered this in june setup took under five minutes happy to answer questions
47,test,simple,1,shipped to a uk address the screen is bright and crisp updating this review later
48,test,simple,1,the build quality feels premium will report back after the winter
49,test,simple,0,replacing a five year old unit the seller shipped the wrong variant
50,train,simple,0,the fit runs two sizes small updating this review later
51,train,simple,1,ordered this in june the warranty claim took three minutes online bought the black version
52,test,simple,0,buying for a home office the keys started sticking almost immediately happy to answer questions
53,train,simple,0,it disconnects from my laptop constantly model number lc four seven five
54,train,simple,1,it survived a drop onto concrete happy to answer questions
55,test,simple,0,second one i have bought the printed instructions were one unreadable page posting this after a month of use
56,train,simple,0,bought during the autumn sale the sound is tinny at any volume updating this review later
57,train,simple,0,bought during the autumn sale the price went up the day after i ordered happy to answer questions
58,train,simple,0,setup took me most of an afternoon ordered through the app
59,val,simple,1,the hinge still feels tight after a year
60,test,simple,0,ordered this in june the fabric pilled after a single wash ordered through the app
61,train,simple,0,the printed instructions were one unreadable page
62,train,simple,0,the weight makes it useless for travel will report back after the winter
63,train,simple,0,for reference the price went up the day after i ordered
64,test,simple,1,for reference it survived a drop onto concrete will report back after the winter
65,test,simple,1,the keys have a satisfying travel posting this after a month of use
66,train,simple,1,for reference the fabric held up after ten washes bought the black version
67,train,simple,1,bought during the autumn sale the mounting bracket lines up perfectly bought the black version
68,train,simple,1,second one i have bought the carrying case is genuinely useful ordered through the app
69,train,simple,1,i have used it daily since march the return label was already in the box
70,test,simple,0,bought during the autumn sale the battery drains overnight while it is off
71,test,simple,0,it stopped charging after three weeks
72,train,simple,0,for reference the firmware update bricked the unit ordered through the app
73,train,simple,1,second one i have bought the packaging was neat and fully recyclable happy to answer questions
74,train,simple,0,buying for a home office the carrying case tore at the seam
75,train,simple,1,shipped to a uk address the sound is surprisingly rich bought the black version
76,train,simple,0,the carrying case tore at the seam happy to answer questions
77,test,simple,1,for reference it pairs with my laptop instantly model number lc four seven five
78,train,simple,0,buying for a home office the warranty claim has been open for six weeks ordered through the app
79,train,simple,1,for reference the build quality feels premium bought the black version
80,train,simple,1,i have used it daily since march the printed instructions were clear and short model number lc four seven five
81,train,simple,1,the firmware update installed without a hitch model number lc four seven five
82,train,simple,1,buying for a home office delivery arrived a day early
83,val,simple,1,second one i have bought the printed instructions were clear and short
84,test,simple,1,buying for a home office it charges fully in about an hour
85,train,simple,1,shipped to a uk address setup took under five minutes posting this after a month of use
86,test,simple,1,the printed instructions were clear and short posting this after a month of use
87,test,simple,0,ordered this in june the firmware update bricked the unit
88,train,simple,0,replacing a five year old unit the stitching came apart at the corner will report back after the winter
89,train,simple,1,it charges fully in about an hour bought the black version
90,train,simple,0,shipped to a uk address the carrying case tore at the seam model number lc four seven five
91,train,simple,1,bought during the autumn sale the keys have a satisfying travel
92,train,simple,1,the battery easily lasts two days
93,train,simple,1,replacing a five year old unit the price is unbeatable for this spec updating this review later
94,train,simple,1,for reference the mounting bracket lines up perfectly
95,val,simple,1,for reference the stitching is even all the way round model number lc four seven five
96,train,simple,0,second one i have bought the build quality feels cheap in the hand bought the black version
97,test,simple,0,setup took me most of an afternoon bought the black version
98,test,simple,0,i have used it daily since march delivery was nine days late with no notice
99,train,simple,0,the build quality feels cheap in the hand happy to answer questions
100,train,simple,0,replacing a five year old unit the build quality feels cheap in the hand model number lc four seven five
101,train,simple,1,second one i have bought the mounting bracket lines up perfectly
102,train,simple,0,it disconnects from my laptop constantly bought the black version
103,train,simple,1,the battery easily lasts two days posting this after a month of use
104,val,simple,0,delivery was nine days late with no notice ordered through the app
105,train,simple,0,shipped to a uk address the return label cost me twelve dollars ordered through the app
106,test,simple,1,buying for a home office the stitching is even all the way round posting this after a month of use
107,train,simple,0,shipped to a uk address the return label cost me twelve dollars will report back after the winter
108,train,simple,1,ordered this in june the companion app is responsive and clean will report back after the winter
109,test,simple,0,for reference the sound is tinny at any volume
110,val,simple,0,the printed instructions were one unreadable page posting this after a month of use
111,train,simple,0,delivery was nine days late with no notice
112,test,simple,1,second one i have bought the weight is far lower than i expected
113,test,simple,0,the carrying case tore at the seam will report back after the winter
114,train,simple,0,the return label cost me twelve dollars
115,train,simple,1,replacing a five year old unit customer service refunded me the same day happy to answer questions
116,test,simple,1,shipped to a uk address the fabric held up after ten washes updating this review later
117,test,simple,1,replacing a five year old unit the build quality feels premium
118,train,simple,1,ordered this in june the sound is surprisingly rich
119,train,simple,1,bought during the autumn sale the price is unbeatable for this spec ordered through the app
120,train,simple,0,second one i have bought the return label cost me twelve dollars will report back after the winter
121,train,simple,1,second one i have bought the packaging was neat and fully recyclable
122,train,simple,0,buying for a home office the stitching came apart at the corner model number lc four seven five
123,test,simple,1,shipped to a uk address the seller threw in a spare cable
124,train,simple,1,shipped to a uk address customer service refunded me the same day
125,train,simple,0,buying for a home office the carrying case tore at the seam model number lc four seven five
126,test,simple,0,the warranty claim has been open for six weeks updating this review later
127,test,simple,0,ordered this in june the stitching came apart at the corner will report back after the winter
128,train,simple,0,ordered this in june setup took me most of an afternoon updating this review later
129,train,simple,0,customer service put me on hold for an hour
130,train,simple,1,i have used it daily since march the companion app is responsive and clean bought the black version
131,train,simple,0,the colour is nothing like the product photos posting this after a month of use
132,train,simple,0,second one i have bought it stopped charging after three weeks
133,train,simple,1,buying for a home office the carrying case is genuinely useful
134,train,simple,1,bought during the autumn sale the colour matches the product photos will report back after the winter
135,train,simple,1,replacing a five year old unit the build quality feels premium happy to answer questions
136,train,simple,0,the carrying case tore at the seam
137,val,simple,1,buying for a home office delivery arrived a day early will report back after the winter
138,val,simple,0,shipped to a uk address the firmware update bricked the unit
139,train,simple,1,replacing a five year old unit the sound is surprisingly rich ordered through the app
140,train,simple,1,buying for a home office the hinge still feels tight after a year ordered through the app
141,train,simple,0,the companion app crashes on every launch model number lc four seven five
142,train,simple,0,for reference support never replied to my ticket posting this after a month of use
143,test,simple,0,the seller shipped the wrong variant happy to answer questions
144,train,simple,0,bought during the autumn sale the packaging arrived crushed and open ordered through the app
145,test,simple,0,the stitching came apart at the corner bought the black version
146,test,simple,1,bought during the autumn sale the price is unbeatable for this spec
147,train,simple,1,replacing a five year old unit support answered within an hour
148,train,simple,0,buying for a home office the packaging arrived crushed and open
149,test,simple,0,bought during the autumn sale the printed instructions were one unreadable page
150,test,simple,1,the mounting bracket lines up perfectly bought the black version
151,train,simple,0,buying for a home office the build quality feels cheap in the hand updating this review later
152,train,simple,1,the companion app is responsive and clean happy to answer questions
153,test,simple,1,the firmware update installed without a hitch
154,val,simple,0,replacing a five year old unit the mounting bracket snapped under load updating this review later
155,train,simple,0,buying for a home office the sound is tinny at any volume
156,train,simple,0,for reference the fit runs two sizes small
157,train,simple,0,second one i have bought the fabric pilled after a single wash
158,train,simple,1,the carrying case is genuinely useful
159,train,simple,1,setup took under five minutes
160,test,simple,1,i have used it daily since march it survived a drop onto concrete model number lc four seven five
161,test,simple,1,the keys have a satisfying travel updating this review later
162,train,simple,0,replacing a five year old unit the colour is nothing like the product photos bought the black version
163,train,simple,0,for reference the firmware update bricked the unit model number lc four seven five
164,train,simple,0,replacing a five year old unit the hinge went loose within a month updating this review later
165,train,simple,0,ordered this in june the hinge went loose within a month ordered through the app
166,train,simple,0,the price went up the day after i ordered bought the black version
167,test,simple,1,for reference it pairs with my laptop instantly bought the black version
168,train,simple,1,shipped to a uk address the mounting bracket lines up perfectly will report back after the winter
169,train,simple,0,the return label cost me twelve dollars will report back after the winter
170,train,simple,1,shipped to a uk address the weight is far lower than i expected
171,test,simple,1,shipped to a uk address the companion app is responsive and clean bought the black version
172,train,simple,1,the seller threw in a spare cable
173,test,simple,1,the build quality feels premium
174,test,simple,0,it stopped charging after three weeks bought the black version
175,train,simple,1,replacing a five year old unit the warranty claim took three minutes online
176,train,simple,0,ordered this in june the companion app crashes on every launch
177,train,simple,1,shipped to a uk address the return label was already in the box
178,train,simple,1,second one i have bought delivery arrived a day early bought the black version
179,train,simple,0,replacing a five year old unit support never replied to my ticket
180,train,simple,0,customer service put me on hold for an hour posting this after a month of use
181,train,simple,0,second one i have bought the carrying case tore at the seam bought the black version
182,train,simple,0,the warranty claim has been open for six weeks ordered through the app
183,test,simple,0,bought during the autumn sale the colour is nothing like the product photos will report back after the winter
184,test,simple,0,i have used it daily since march the fit runs two sizes small posting this after a month of use
185,train,simple,1,ordered this in june delivery arrived a day early updating this review later
186,val,simple,1,buying for a home office the fabric held up after ten washes
187,train,simple,0,buying for a home office the carrying case tore at the seam bought the black version
188,val,simple,0,the firmware update bricked the unit
189,train,simple,0,replacing a five year old unit the sound is tinny at any volume posting this after a month of use
190,val,simple,0,the mounting bracket snapped under load ordered through the app
191,train,simple,1,ordered this in june the carrying case is genuinely useful
192,test,simple,0,second one i have bought customer service put me on hold for an hour
193,train,simple,0,the seller shipped the wrong variant will report back after the winter
194,test,simple,1,second one i have bought delivery arrived a day early
195,train,simple,0,for reference the keys started sticking almost immediately
196,val,simple,0,for reference the stitching came apart at the corner
197,test,simple,0,the weight makes it useless for travel model number lc four seven five
198,train,simple,1,buying for a home office the companion app is responsive and clean will report back after the winter
199,test,simple,0,i have used it daily since march customer service put me on hold for an hour posting this after a month of use
200,test,simple,0,support never replied to my ticket
201,train,simple,0,bought during the autumn sale the return label cost me twelve dollars
202,test,simple,0,shipped to a uk address the hinge went loose within a month posting this after a month of use
203,train,simple,0,shipped to a uk address the packaging arrived crushed and open updating this review later
204,test,simple,1,i have used it daily since march the printed instructions were clear and short
205,train,simple,0,second one i have bought the weight makes it useless for travel
206,test,simple,0,buying for a home office the return label cost me twelve dollars
207,train,simple,0,ordered this in june support never replied to my ticket ordered through the app
208,test,simple,1,i have used it daily since march the companion app is responsive and clean updating this review later
209,train,simple,1,bought during the autumn sale setup took under five minutes
210,train,simple,0,ordered this in june the price went up the day after i ordered
211,train,simple,1,the keys have a satisfying travel happy to answer questions
212,train,simple,1,the fit is exactly as described updating this review later
213,train,simple,0,customer service put me on hold for an hour model number lc four seven five
214,train,simple,1,i have used it daily since march the warranty claim took three minutes online
215,test,simple,1,the warranty claim took three minutes online will report back after the winter
216,test,simple,0,shipped to a uk address the carrying case tore at the seam posting this after a month of use
217,train,simple,0,replacing a five year old unit the weight makes it useless for travel
218,train,simple,0,bought during the autumn sale it stopped charging after three weeks model number lc four seven five
219,test,simple,1,the seller threw in a spare cable bought the black version
220,train,simple,0,replacing a five year old unit the carrying case tore at the seam bought the black version
221,train,simple,0,replacing a five year old unit delivery was nine days late with no notice will report back after the winter
222,test,simple,1,the keys have a satisfying travel model number lc four seven five
223,train,simple,1,the mounting bracket lines up perfectly will report back after the winter
224,test,simple,0,the battery drains overnight while it is off will report back after the winter
225,train,simple,0,replacing a five year old unit the printed instructions were one unreadable page
226,train,simple,0,for reference it cracked from a knock off the desk ordered through the app
227,train,simple,1,shipped to a uk address the warranty claim took three minutes online
228,train,simple,1,the fit is exactly as described
229,train,simple,0,buying for a home office the fabric pilled after a single wash updating this review later
230,test,simple,0,second one i have bought the colour is nothing like the product photos updating this review later
231,test,simple,1,the return label was already in the box bought the black version
232,val,simple,0,replacing a five year old unit the mounting bracket snapped under load model number lc four seven five
233,train,simple,0,ordered this in june the keys started sticking almost immediately
234,val,simple,1,second one i have bought the fit is exactly as described will report back after the winter
235,train,simple,1,second one i have bought the warranty claim took three minutes online
236,train,simple,0,buying for a home office the sound is tinny at any volume ordered through the app
237,test,simple,1,bought during the autumn sale the packaging was neat and fully recyclable model number lc four seven five
238,train,simple,0,shipped to a uk address the hinge went loose within a month will report back after the winter
239,val,simple,0,ordered this in june the warranty claim has been open for six weeks will report back after the winter
240,train,simple,0,ordered this in june the hinge went loose within a month
241,train,simple,1,ordered this in june the stitching is even all the way round bought the black version
242,train,simple,0,i have used it daily since march the companion app crashes on every launch happy to answer questions
243,train,simple,1,second one i have bought the fit is exactly as described updating this review later
244,val,simple,1,shipped to a uk address the printed instructions were clear and short bought the black version
245,train,simple,0,second one i have bought support never replied to my ticket
246,test,simple,0,second one i have bought the build quality feels cheap in the hand
247,test,simple,0,for reference the firmware update bricked the unit updating this review later
248,test,simple,1,for reference the fit is exactly as described posting this after a month of use
249,val,simple,0,buying for a home office delivery was nine days late with no notice happy to answer questions
250,val,simple,1,the packaging was neat and fully recyclable
251,val,simple,0,bought during the autumn sale delivery was nine days late with no notice ordered through the app
252,train,simple,0,customer service put me on hold for an hour will report back after the winter
253,train,simple,0,ordered this in june the colour is nothing like the product photos
254,val,simple,0,ordered this in june the seller shipped the wrong variant
255,val,simple,1,for reference setup took under five minutes updating this review later
256,test,simple,1,replacing a five year old unit the screen is bright and crisp updating this review later
257,test,simple,1,the warranty claim took three minutes online happy to answer questions
258,train,simple,0,it cracked from a knock off the desk model number lc four seven five
259,train,simple,0,replacing a five year old unit the mounting bracket snapped under load happy to answer questions
260,train,simple,0,for reference setup took me most of an afternoon happy to answer questions
261,train,simple,1,i have used it daily since march the weight is far lower than i expected model number lc four seven five
262,train,simple,1,replacing a five year old unit setup took under five minutes bought the black version
263,train,simple,1,the build quality feels premium bought the black version
264,train,simple,0,support never replied to my ticket posting this after a month of use
265,train,simple,1,ordered this in june it survived a drop onto concrete
266,train,simple,1,the price is unbeatable for this spec
267,test,simple,1,bought during the autumn sale it survived a drop onto concrete model number lc four seven five
268,test,simple,1,for reference the warranty claim took three minutes online
269,test,simple,0,ordered this in june it cracked from a knock off the desk model number lc four seven five
270,train,simple,0,the battery drains overnight while it is off posting this after a month of use
271,train,simple,1,ordered this in june the colour matches the product photos updating this review later
272,train,simple,1,ordered this in june setup took under five minutes
273,test,simple,0,the carrying case tore at the seam bought the black version
274,train,simple,1,for reference the fabric held up after ten washes happy to answer questions
275,test,simple,0,the hinge went loose within a month happy to answer questions
276,test,simple,1,buying for a home office it survived a drop onto concrete updating this review later
277,val,simple,0,shipped to a uk address the fabric pilled after a single wash bought the black version
278,val,simple,1,bought during the autumn sale it survived a drop onto concrete
279,train,simple,0,the keys started sticking almost immediately ordered through the app
280,train,simple,1,second one i have bought the battery easily lasts two days ordered through the app
281,train,simple,0,it disconnects from my laptop constantly
282,train,simple,0,the colour is nothing like the product photos will report back after the winter
283,test,simple,0,bought during the autumn sale the stitching came apart at the corner will report back after the winter
284,test,simple,0,buying for a home office support never replied to my ticket
285,train,simple,0,the mounting bracket snapped under load
286,test,simple,0,shipped to a uk address the carrying case tore at the seam
287,test,simple,0,for reference it cracked from a knock off the desk
288,train,simple,0,i have used it daily since march the weight makes it useless for travel
289,test,simple,1,i have used it daily since march the weight is far lower than i expected posting this after a month of use
290,train,simple,0,the fabric pilled after a single wash
291,train,simple,1,for reference delivery arrived a day early bought the black version
292,test,simple,0,ordered this in june it stopped charging after three weeks bought the black version
293,train,simple,0,the warranty claim has been open for six weeks
294,train,simple,0,the battery drains overnight while it is off happy to answer questions
295,test,simple,1,the warranty claim took three minutes online updating this review later
296,train,simple,1,the keys have a satisfying travel will report back after the winter
297,train,simple,0,the weight makes it useless for travel
298,train,simple,1,second one i have bought the stitching is even all the way round will report back after the winter
299,test,simple,0,i have used it daily since march it stopped charging after three weeks posting this after a month of use
300,train,simple,1,for reference the keys have a satisfying travel ordered through the app
301,train,simple,1,for reference the hinge still feels tight after a year posting this after a month of use
302,test,simple,1,the fit is exactly as described bought the black version
303,train,simple,0,bought during the autumn sale the battery drains overnight while it is off updating this review later
304,train,simple,0,i have used it daily since march the screen developed a dead pixel in week two ordered through the app
305,train,simple,0,second one i have bought the packaging arrived crushed and open model number lc four seven five
306,train,simple,0,for reference the price went up the day after i ordered happy to answer questions
307,test,simple,1,delivery arrived a day early posting this after a month of use
308,train,simple,0,the keys started sticking almost immediately will report back after the winter
309,train,simple,1,replacing a five year old unit the mounting bracket lines up perfectly
310,val,simple,1,it pairs with my laptop instantly posting this after a month of use
311,train,simple,1,it charges fully in about an hour
312,train,simple,1,i have used it daily since march the weight is far lower than i expected happy to answer questions
313,train,simple,1,it survived a drop onto concrete will report back after the winter
314,train,simple,0,the firmware update bricked the unit model number lc four seven five
315,train,simple,1,shipped to a uk address it pairs with my laptop instantly
316,val,simple,1,buying for a home office the stitching is even all the way round
317,test,simple,0,ordered this in june the return label cost me twelve dollars
318,test,simple,1,ordered this in june the packaging was neat and fully recyclable
319,val,simple,1,replacing a five year old unit it survived a drop onto concrete
320,train,simple,1,buying for a home office the printed instructions were clear and short model number lc four seven five
321,train,simple,0,buying for a home office it cracked from a knock off the desk
322,train,simple,0,bought during the autumn sale the battery drains overnight while it is off happy to answer questions
323,val,simple,0,the printed instructions were one unreadable page bought the black version
324,test,simple,1,ordered this in june the seller threw in a spare cable posting this after a month of use
325,train,simple,0,i have used it daily since march the build quality feels cheap in the hand updating this review later
326,val,simple,1,delivery arrived a day early bought the black version
327,train,simple,0,for reference the stitching came apart at the corner model number lc four seven five
328,train,simple,0,for reference it disconnects from my laptop constantly model number lc four seven five
329,test,simple,1,shipped to a uk address the fabric held up after ten washes will report back after the winter
330,train,simple,1,bought during the autumn sale the companion app is responsive and clean updating this review later
331,test,simple,1,i have used it daily since march the battery easily lasts two days ordered through the app
332,train,simple,0,shipped to a uk address the firmware update bricked the unit posting this after a month of use
333,test,simple,0,setup took me most of an afternoon
334,train,simple,1,second one i have bought the screen is bright and crisp model number lc four seven five
335,train,simple,0,replacing a five year old unit the keys started sticking almost immediately
336,test,simple,0,buying for a home office delivery was nine days late with no notice bought the black version
337,val,simple,0,buying for a home office the weight makes it useless for travel
338,train,simple,1,ordered this in june the fit is exactly as described posting this after a month of use
339,train,simple,0,i have used it daily since march the price went up the day after i ordered happy to answer questions
340,train,simple,0,the battery drains overnight while it is off
341,train,simple,0,replacing a five year old unit the build quality feels cheap in the hand ordered through the app
342,test,simple,1,it pairs with my laptop instantly
343,val,simple,1,customer service refunded me the same day bought the black version
344,test,simple,1,buying for a home office the weight is far lower than i expected posting this after a month of use
345,val,simple,1,it survived a drop onto concrete
346,test,simple,1,for reference the return label was already in the box model number lc four seven five
347,train,simple,1,buying for a home office the fit is exactly as described
348,train,simple,0,for reference the colour is nothing like the product photos
349,val,simple,1,the companion app is responsive and clean updating this review later
350,train,simple,1,replacing a five year old unit it pairs with my laptop instantly
351,train,simple,0,ordered this in june the battery drains overnight while it is off
352,train,simple,0,second one i have bought the warranty claim has been open for six weeks
353,test,simple,1,for reference the screen is bright and crisp
354,train,simple,0,the return label cost me twelve dollars bought the black version
355,train,simple,1,replacing a five year old unit the colour matches the product photos ordered through the app
356,val,simple,1,the price is unbeatable for this spec posting this after a month of use
357,train,simple,1,buying for a home office the keys have a satisfying travel
358,train,simple,1,ordered this in june the fit is exactly as described bought the black version
359,val,simple,0,second one i have bought the firmware update bricked the unit happy to answer questions
360,test,simple,1,the colour matches the product photos posting this after a month of use
361,train,simple,0,i have used it daily since march it stopped charging after three weeks
362,test,simple,0,ordered this in june the fit runs two sizes small
363,train,simple,0,ordered this in june the build quality feels cheap in the hand
364,train,simple,0,the screen developed a dead pixel in week two happy to answer questions
365,test,simple,1,for reference it survived a drop onto concrete
366,train,simple,0,ordered this in june the fit runs two sizes small ordered through the app
367,train,simple,0,buying for a home office the sound is tinny at any volume model number lc four seven five
368,train,simple,1,replacing a five year old unit the packaging was neat and fully recyclable updating this review later
369,val,simple,1,the printed instructions were clear and short model number lc four seven five
370,train,simple,0,buying for a home office the return label cost me twelve dollars ordered through the app
371,train,simple,0,second one i have bought the keys started sticking almost immediately ordered through the app
372,test,simple,0,the colour is nothing like the product photos
373,train,simple,1,replacing a five year old unit customer service refunded me the same day
374,train,simple,1,second one i have bought customer service refunded me the same day ordered through the app
375,train,simple,1,ordered this in june the fabric held up after ten washes updating this review later
376,test,simple,0,i have used it daily since march the firmware update bricked the unit
377,train,simple,0,shipped to a uk address the price went up the day after i ordered
378,train,simple,0,bought during the autumn sale the price went up the day after i ordered model number lc four seven five
379,train,simple,0,bought during the autumn sale the build quality feels cheap in the hand will report back after the winter
380,train,simple,1,replacing a five year old unit the stitching is even all the way round will report back after the winter
381,train,simple,0,i have used it daily since march the seller shipped the wrong variant posting this after a month of use
382,test,simple,1,i have used it daily since march the screen is bright and crisp model number lc four seven five
383,train,simple,1,for reference the price is unbeatable for this spec ordered through the app
384,test,simple,0,i have used it daily since march it cracked from a knock off the desk
385,train,simple,0,replacing a five year old unit it cracked from a knock off the desk
386,train,simple,0,replacing a five year old unit the seller shipped the wrong variant model number lc four seven five
387,train,simple,0,replacing a five year old unit the firmware update bricked the unit happy to answer questions
388,val,simple,1,ordered this in june support answered within an hour will report back after the winter
389,train,simple,1,bought during the autumn sale support answered within an hour ordered through the app
390,train,simple,0,the return label cost me twelve dollars happy to answer questions
391,train,simple,0,second one i have bought it stopped charging after three weeks updating this review later
392,train,simple,0,for reference the keys started sticking almost immediately posting this after a month of use
393,test,simple,0,for reference the carrying case tore at the seam
394,test,simple,0,second one i have bought the companion app crashes on every launch
395,train,simple,0,second one i have bought the price went up the day after i ordered happy to answer questions
396,train,simple,1,replacing a five year old unit the sound is surprisingly rich
397,test,simple,0,support never replied to my ticket bought the black version
398,train,simple,1,the weight is far lower than i expected posting this after a month of use
399,train,simple,0,ordered this in june the colour is nothing like the product photos bought the black version
400,train,simple,0,bought during the autumn sale the firmware update bricked the unit posting this after a month of use
401,test,simple,1,replacing a five year old unit the hinge still feels tight after a year will report back after the winter
402,train,simple,1,buying for a home office the companion app is responsive and clean bought the black version
403,test,simple,0,i have used it daily since march the keys started sticking almost immediately happy to answer questions
404,train,simple,0,second one i have bought the firmware update bricked the unit
405,train,simple,1,the warranty claim took three minutes online posting this after a month of use
406,val,simple,0,the stitching came apart at the corner
407,train,simple,0,replacing a five year old unit the printed instructions were one unreadable page bought the black version
408,test,simple,1,for reference the keys have a satisfying travel model number lc four seven five
409,train,simple,0,buying for a home office the return label cost me twelve dollars happy to answer questions
410,test,simple,0,for reference support never replied to my ticket
411,train,simple,0,second one i have bought the packaging arrived crushed and open happy to answer questions
412,test,simple,0,the screen developed a dead pixel in week two posting this after a month of use
413,test,simple,1,it charges fully in about an hour ordered through the app
414,test,simple,1,for reference it pairs with my laptop instantly updating this review later
415,train,simple,0,buying for a home office customer service put me on hold for an hour
416,test,simple,0,the weight makes it useless for travel updating this review later
417,train,simple,0,for reference the stitching came apart at the corner bought the black version
418,train,simple,1,ordered this in june the colour matches the product photos will report back after the winter
419,train,simple,0,buying for a home office the colour is nothing like the product photos will report back after the winter
420,train,simple,1,ordered this in june the sound is surprisingly rich updating this review later
421,train,simple,1,shipped to a uk address the packaging was neat and fully recyclable will report back after the winter
422,test,simple,1,i have used it daily since march the weight is far lower than i expected
423,train,simple,1,the warranty claim took three minutes online model number lc four seven five
424,train,simple,1,buying for a home office the sound is surprisingly rich happy to answer questions
425,train,simple,1,replacing a five year old unit the fabric held up after ten washes
426,train,simple,0,second one i have bought the battery drains overnight while it is off model number lc four seven five
427,train,simple,0,the price went up the day after i ordered happy to answer questions
428,train,simple,0,the fit runs two sizes small posting this after a month of use
429,test,simple,1,buying for a home office the sound is surprisingly rich will report back after the winter
430,val,simple,0,second one i have bought the return label cost me twelve dollars
431,train,simple,1,shipped to a uk address the build quality feels premium
432,train,simple,0,shipped to a uk address the fabric pilled after a single wash
433,test,simple,0,the price went up the day after i ordered updating this review later
434,val,simple,0,second one i have bought the keys started sticking almost immediately posting this after a month of use
435,train,simple,1,i have used it daily since march the fit is exactly as described ordered through the app
436,test,simple,0,the sound is tinny at any volume model number lc four seven five
437,test,simple,0,for reference delivery was nine days late with no notice bought the black version
438,test,simple,1,bought during the autumn sale the packaging was neat and fully recyclable
439,train,simple,1,second one i have bought the return label was already in the box ordered through the app
440,test,simple,0,for reference the firmware update bricked the unit
441,train,simple,0,ordered this in june the packaging arrived crushed and open
442,test,simple,0,ordered this in june the screen developed a dead pixel in week two
443,train,simple,0,bought during the autumn sale the carrying case tore at the seam happy to answer questions
444,train,simple,1,i have used it daily since march the weight is far lower than i expected ordered through the app
445,train,simple,1,the seller threw in a spare cable model number lc four seven five
446,train,simple,0,for reference the battery drains overnight while it is off happy to answer questions
447,test,simple,0,the colour is nothing like the product photos happy to answer questions
448,train,simple,0,i have used it daily since march the price went up the day after i ordered posting this after a month of use
449,train,simple,1,ordered this in june the firmware update installed without a hitch model number lc four seven five
450,train,simple,0,buying for a home office the mounting bracket snapped under load posting this after a month of use
451,train,simple,1,for reference the firmware update installed without a hitch model number lc four seven five
452,train,simple,0,bought during the autumn sale the warranty claim has been open for six weeks bought the black version
453,train,simple,1,ordered this in june the seller threw in a spare cable will report back after the winter
454,train,simple,0,shipped to a uk address the printed instructions were one unreadable page
455,train,simple,0,buying for a home office the colour is nothing like the product photos model number lc four seven five
456,train,simple,0,the fit runs two sizes small will report back after the winter
457,test,simple,1,ordered this in june the firmware update installed without a hitch bought the black version
458,val,simple,0,bought during the autumn sale customer service put me on hold for an hour
459,train,simple,1,the fabric held up after ten washes bought the black version
460,train,simple,1,the battery easily lasts two days happy to answer questions
461,train,simple,0,bought during the autumn sale setup took me most of an afternoon model number lc four seven five
