ticket_id,channel,subject,body,queue
T-90023,email,Double charged,"Hello Northwind, Can I get an itemized receipt or invoice for order NW-79619 - I need it for my expense report. I need this sorted before the end of the month. Thank you. — Rowan Larsen",billing
T-90024,chat,Tracking question,the invoice in the box lists a Basecamp camp chair that is not whhatI  was charged for online - which one is actually shipping to mm. I paid with the card ending 9828,shipping
T-90025,email,Supprt request,"Hi there, My order history disappeared after I merged my old account with my new email. I contacted you a few days ago about this and never heard back. Thanks in advance. — Casey Silva",account-access
T-90026,email,Delivery problem,"Good morning, UPS tracking shows my package has been sitting in a sort facility for two days. Appreciate it.",shipping
T-90027,email,2FA problem,"Hi there, I changed phones and can no lnger get the two factor authentication cod. I already looked through the help center and could not find an answer. — Jordan Garcia",account-access
T-90028,chat,Invvoice request,You charged the wrong card - the order should have gone on the card ending 1766. I already looked through the help center and could not find an answer?,billing
T-90029,email,Problem with my order,"Hi, My return was received four days ago but the refund of $89.00 still is not back on my card. — Reese aLrsen",billing
T-90030,chat,Need assistance,my order NW-68498 was placed four days ago and the tracking still says label created. I placed the order on the 3rd.,shipping
T-90031,email,Where is my order,"Good morning, My package arrived with the box torn open and the Torrent rain jacket inside looks damaged. you refunded the item but not the original shipping cost on order nw-96299. I paid with the card ending 2748. Hope you can help. — Rowan Novak",shipping
T-90032,chat,Tracking question,you split my order into two shipments and only one has any tracking movement?,shipping
T-90033,webform,Help,"Hello, There is a charge fohm Northwind on my statement for $249.99 that  do not recognnize. Order number is NW-55381 if that helps. Hope you can help.",billing
T-90034,email,Late order,"Hi there, The invoiec in the box lists a Trailhead hiking boots that is not what I was charged for online - whicv one is actualy shipping to me. This is for an upcmoing thru-hike. Thanks in advance.",shipping
T-90035,email,Package missing,"Hello, The tracking page says delivered but there is no packag anywhere at my address. I placed the order during the sale. — Sam Haddad",shipping
T-90036,webform,Question,"Hi, I need the Ember fuel canister beforee Saturday - can you expedite shipping. I tried calling but the wait time was over 45 minutes. Hope you can help.",shipping
T-90037,email,Support request,The tracking page says delivered but there is no package anywhere at my address. Thank you. — Jordan Silva,shipping
T-90038,chat,Membership billing,Please cancel my Trail Club membership - I am still being billed $9.99 a month. I already looked through the help center and could not find an answer?,billing
T-90039,email,Billing question,I was charged twice for order NW-62919 - there are two $19.00 hcarges on my card. Appreciate it. — Dana Whitfield,billing
T-90040,email,Account locked,"Hello Northwind, The email receipt went to my old address - I need to update where my invoices get sent. I already looked through the help center and could not find an answer. Thanks in advance. — Rowan Okafor",account-access
T-90041,webform,Need assistance,"Good morning, The password reset email never arrives - I have checked spam twice. I contacted you last week about this and never heard back. Thanks in advance.",account-access
T-90042,email,Urgent,"Hello Northwind, I paid $149.99 extra for two day shipping and mt has been a week. The package was a gift for my partner. Hope you can help.",shipping
T-90043,email,Problem with my order,"Good morning, How do I change the email address on my account - I no longer have access to the old one. I have been a customer for years and this is the first problem I have had. Hope you can help. — Casey Ortiz",account-access
T-90044,chat,Support request,My account shows an order I already cancelled and the charge is still pending on my card. the tracking page says delivered but there is no package anywhere at my address??,billing
T-90045,chat,Suport request,I cannot log in to my account - it keeps saying my password is wrong even after I reset it. the tracking page says delivered but there is no package anywhere at my address,account-access
T-90046,email,Quuestion,"Hello Northwind, I was charged twice for order NW-57996 - there are two $189.99 charges on my card. how do i change the email address on my account - i no longer have access to the old one. Please advise. — Devon Haddad",billing
T-90047,email,Where ism y order,"Hello Northwind, Can you hold the shipment at a UPS pickup point instead of delivering to my door. This is for an upcoming camping trip. — Avery Ortiz",shipping
T-90048,chat,Urgent,resending this - You charged the wrong card - the order should have gone o the card gnding 495.6 The pacfage was a gift for my son?,billing
T-90049,chat,Question,i paid $249.99 extra for two day shipping and it has been two weeks. I paid with the card ending 4595??,shipping
T-90050,email,Double charged,"Hey, I was charged sales tax on order NW-56239 but my state does not tax clothing. The order had the Drifter 10 kayak and some smaller items in it. Thanks in advance. — Reese Whitfield",billing
T-90051,chat,Support request,My gift card balance shows $118.95 but checkout would not let me use it. I contacted you a few days ago about this and never heard back,billing
T-90052,email,Urgent,"Hey, When I log in my order history shows someone else's orders and charges. my account shows an order i already cancelled and the charge is still pending on my card. Thanks.",account-access
T-90053,chat,Order not delivered,if I refuse the package at delivery do I still have to pay return shipping. i cancelled order nw-67530 an hour after placing it but the charge of $249.50 still went through??,shipping
T-90054,chat,Delivery problem,Only half of order NW-41470 showed up - the Drifter paddle is missing from the box.,shipping
T-90055,email,,?????!!,billing
T-90056,chat,Cannot log in,When I log in my order history shows someone else's orders and charges. I already looked through the help center and could not find an answer,account-access
T-90057,webform,Help,"Good morning, You refunded the item but not the original shipping cost on order NW-63397. I already looked through the help center and could not find an answer. Thank you.",billing
T-90058,webform,Charge I do not recognize,following up - There is a charge from Nortthwind on my statement for $35.00 that I d not recognize. Please advise.,billing
T-90059,chat,Delivery problem,the invoice in the box lists a Cascade 20 sleeping bag that is not what I was charged for online - which one is actually shipping to me. Order number is NW-56951 if that helps,shipping
T-90060,email,Urgent,"Hello Northwind, I need the Lumen 800 headlamp before this weekend - can you expedite shipping. I already looked thruough the help center and could not find an answer. Pleas advise. — Riley Okafor",shipping
T-90061,email,Refund not received,"Hi there, Please cancel my Trail Club membership - I am still being billed $9.99 a month. I contacted you last week about this and never heard back. Please advise. — Riley Larsen",billing
T-90062,email,Package missing,"Hi there, The tracking page says delivered but there is no package anywhere at my address. Appreciatei t.",shipping
T-90063,email,Support request,The invoice in the box lists a Voltpack 20K power bank that is not what I was charged for online - which one is actually shipping to me. I tried calling but the wait time was over 30 minutes. Hope you can help. — Casey Ortiz,shipping
T-90064,email,Password reset not working,"Hello, The password reset email never arrives - I have checked spam several times. I have been a customer for years and this is the first problem I have had. Please advise.",account-access
T-90065,webform,Help,Please delete my account and all my personal data. Thank you.,account-access
T-90066,email,Support request,"Hey, Can  Iget an itemized receipt or invoice for order NW-52704 - I need it for woork. I placed the order during the sale. Thanks in advance.",billing
T-90067,email,Package issing,Can I change the delivery address on order NW-69699 before it ships. there is a charge from northwind on my statement for $312.50 that i do not recognize. I have been a customer for years and this is the first problem I have had. Appreciate it. — Casey Whitfield,shipping
T-90068,webform,Double charged,"Hi, I cancelled order NW-66133 minutes after placing it but the charge of $214.99 still went through. I tried calling but the wait time was over 45 minutes. Thanks in advance.",billing
T-90069,chat,Question,if I refuset he package at delivery do I still have to pay return shipping. I paid with the card ending 8211?,shipping
T-90070,email,Support reqeust,"Hello Northwind, My order history disappeared after I merged my old account with my new email. my account shows an order i already cancelled and the charge is still pending on my card. the price of the aurora camp lantern dropped to $118.99 the day after i bought it - do you do price adjustments. I paid with the card ending 6500. — Riley Whitfield",account-access
T-90071,email,Late roder,"Hi there, Only half of order NW-41476 showed up - the Otter dry bag is missing from the box. The order had the Cascade 20 sleeping bag and some smaller items in it. Thanks. — Taylor Okafor",shipping
T-90072,webform,Delivery problem,Customs is asking me to pay $129.95 in import fees for order NW-65447 - was that supposed to happen. my order history disappeared after i merged my old account with my new email. I contacted you last week about this and never heard back. Thanks in advance.,shipping
T-90073,email,Billing question,"Hi there, I was charged sales tax on order NW-71035 but my state does not tax clothing. I placed the order about ten days ago. Hope you can help. — Kai Ortiz",billing
T-90074,chat,Question,I returne dteh Windbreak fleece and the refund I got was $58.50 short of what I paid. The package was a gift for a friend?,billing
T-90075,chat,Password reset not working,my account seems to be locked after too many login attempts. Order number is NW-48649 if that helps.,account-access
T-90076,email,Membership billing,"Hey, My return was received two days ago but the refund of $129.00 still is not back on my card. I tried calling but the wait time was over 45 minutes. Appreciate it. — Reese Nguyen",billing
T-90077,chat,Suport request,I cannot log in to my account - it keeps saying my password is wrong even after I reset it. the tracking page says delivered but there is no package anywhere at my address,account-access
T-90078,email,Support request,"Good morning, Can I change the delivery address on order NW-50390 before it ships. please cancel my trail club membership - i am still being billed $9.99 a month. why was i charged $312.99 for shipping when the site says orders over $75 ship free. I contacted you a few days ago about this and never heard back. Hope you can help.",shipping
T-90079,email,Help,"Hey, I was charged twice for order NW-73194 - there are two $149.00 charges on my card. Thanks. — Jamie Okafor",billing
T-90080,email,Help,"Good morning, The tracking says my order was delivered but I was charged for shipping insurance I never added. The order had the Anchor bear canister and some smaller items in it. Thanks in advance. — Jordan Silva",billing
T-90081,email,Promo code problem,"Hey, You charged the wrong card - the order should have goone on the card ending 1869. I placed the order on the 3rd. Appreciate it.",billing
T-90082,chat,Question,Please cancel my Trail Club membership - I am still being billed $9.99 a month. the email receipt went to my old address - i need to update where my invoices get sent.,billing
T-90083,email,Urgent,"Good morning, Where is my order? The Lumen 800 headlamp was supposed to arrive two days ago. I contacted you last week about this and never heard back. Thanks.",shipping
T-90084,webform,Urgent,Where is my order? The Firefly bug net was supposed to arrive two days ago. I contacted you a few days ago about this and never heard back. Please advise.,shipping
T-90085,chat,Help,Can you hold the shipment at a FedEx pickup point instead of delivering to my door. The package was a gift for a friend??,shipping
T-90086,email,Billing question,"Good morning, My gift card balance shows $129.00 but checkout would not let me use it. I contacted you a few days ago about this and never heard back. Appreciate it.",billing
T-90087,chat,Problem with my order,only half of order NW-44657 showed up - the Glacier 45 cooler is missing from the box. I contacted you a few days ago about this and never heard back?,shipping
T-90088,chat,Invoice request,my account shows an order I already cancelled and the charge is still pending on my card. I contacted you last week about this and never heard back.,billing
T-90089,webform,Question,"second time sending this. Hey,H ow do I yhange the email address on my account - I no longer have access to the old one. The package was a gift for my partner. Thanks in advance.",account-access
T-90090,webform,Support request,see below. ref NW-72006,billing
T-90091,email,Question,"Good morning, If I refuse the package at delivery do I still have to pay return shipping. I placed the order on the 3rd. Appreciate it.",shipping
T-90092,webform,Help,"Hey, Customs is asking me to pay $24.50 in import fees for order NW-76314 - was that supposed to happen. I need this sorted before the weekend. Please advise.",shipping
T-90093,email,Billing question,"Good morning, The promo code WELCOME10 did not apply at checkout and I was charged full price. I contacted you last week about this and never heard back. Please advise.",billing
T-90094,email,Support request,"Good morning, The email receipt went to my old address - I need to update where my invoices gets ent. I already looked through the help center and could not find an answer.",account-access
T-90095,chat,Delivery problem,USPS tracking shows my package has been sitting in customs for three days. The package was a gift for a friend??,shipping
T-90096,webform,Support request,see below. ref NW-79387,account-access
T-90097,webform,Late order,"Good morning, I paid $79.00 extra for two day shipping and it has been a week. I contcted you a few days ago about this and never heard back. Appreciate it.",shipping
T-90098,webform,Support request,"Hi, I returned the Summit 65 backpack and the refund I got was $312.99 short of what I paid. I already looked through the help center and could not find an answer.",billing
T-90099,email,Help,"Good morning, I think someone else has been using my account - there is an order in my history I never placed. I already looked through the help center and could not find an answer. Hope you can help.",account-access
T-90100,chat,Urgent,I paid $64.00 extra for two day shipping and it has been three days. The package was a gift for my partner?,shipping
T-90101,email,Support request,"Hello Northwind, Customs is asking me to pay $214.00 in import fees for order NW-49029 - was that supposed to happen. The order had the Anchor bear canister and some smaller items in it. Thanks in advance. — Devon Larsen",shipping
T-90102,chat,Account security concern,when I log in my order history shows someone else's orders and charges. can you hold the shipment at a dhl pickup point instead of delivering to my door.,account-access
T-90103,email,Problem with my order,"Good morning, Where is my order? The Torrent rain jacket was supposed to arrive on Monday. my account seems to be locked after too many login attempts. the verification link in the signup email says it has expired. I already looked through the help center and could not find an answer. Appreciate it. — Reese Kaur",shipping
T-90104,webform,Question,"Hello, I cannot log in to my account - it keeps saying my pasword is wroog even after I reset it. Order number is NW-53868 if that helps. Hope you can help.",account-access
T-90105,webform,Charge I do not recognize,"resending this - Hi there, Why was I charged $249.99 for shipping when the site says orders over $75 ship free. I contacted you a few days ago about this and never heard back.",billing
T-90106,chat,Order not delivered,can you hold the shipment at a DHL pickup point instead of delivering to my door??,shipping
T-90107,chat,Promo code problem,I returned the Cirrus trekking poles and the refund I got was $312.50 short of what I paid. I have been a customer for years and thisi s the first problem I have had.,billing
T-90108,email,Late orer,"Good morning, Only half of order NW-50960 showed up - the Slate sunglasses is missing from the box. Thank you. — Reese Okafor",shipping
T-90109,chat,Cannot log in,The verification link in the signup email says it has expired. The package was a gift for a friend.,account-access
T-90110,chat,Shipping delay,My package arrived with the box torn open and the Puffin down vest inside looks okay. I already looked through the help center and could not find an answer?,shipping
T-90111,chat,Late order,i need the Trailhead hiking boots before this weekend - can you expedite shipping. I have been a customer for three seasons and this is the first problem I have had?,shipping
T-90112,webform,Late order,"Good morning, Where is my order? The Windbreak fleece was supposed to arrive yesterday. This is for an upcoming canoe trip. Thank you.",shipping
T-90113,webform,Queston,"Good morning, I was charged twice for order NW-45570 - there are two $249.99 charges on my card. the tracking page says delivered but there is no package anywhere at my address. I already looked through the help center and could not find an answer. Hope you can help.",billing
T-90114,webform,Support request,I returned the Torrent rain jacket and the refund I got was $35.99 short of what I paid. I paid with the card ending 6087. Thanks in advance.,billing
T-90115,email,Urgent,"Hey, My account seems to be locked after too many login attempts. Thanks. — Morgan Okafor",account-access
T-90116,email,Need assistance,"Hi there, My account shows an order I already cancelled and the charge is still pending on my card. when i log in my order history shows someone else's orders and charges. This is for an upcoming camping trip. Thanks. — Dana Chen",billing
T-90117,email,Delivery pproblem,"Good morning, My refund was approved but the replacement Cirrus trekking poles still has no tracking number. I already looked through the help center and could not find an answer. Please advise. — Casey Garcia",shipping
T-90118,webform,Delivery problem,"Hi there, My refund was approved but the replacement Cascade 0 sleeping bag still has no tracking number. I already looked through the help center and could not find an answer. Thanks.",shipping
T-90119,email,Delivery problem,"Hello Northwind, The tracking page says delivered but there is no package anywhere at my address. I already looked through the help center and could not find an answer.",shipping
T-90120,email,Problem with my order,"Hello Northwind, My refund was approved but the replacement Anchor bear canister still has no tracking number. This is for an upcoming camping trip. Thanks in advance.",shipping
T-90121,chat,Login trouble,my account seems to be locked fater too many login attempts. The order had the Firefly bug net and some smaller items in it??,account-access
T-90122,webform,Package missing,"Hello, My package arrived with the box torn open and the Anchor bear canister inside looks okay. I contacted you a few days ago about this and never heard back. Hope you can help.",shipping
T-90123,email,Order status,"Hello Northiwdn, My refund was approved but the replacement Basecamt camp chair still has no tracking number. Thank you.",shipping
T-90124,email,Where is my order,"Good morning, Only haalf of order NW-50569 showed up - the GGlacier 45 cooler is missing from the box. The package was a gift for my son. Thanks. — Morgan Haddad",shipping
T-90125,chat,Question,My return was received over two weeks aog but teh refun of $64.50 still is not back on my card. The package was  gift for my son.,billing
T-90126,email,Account security concern,"Good morning, I think someone else has been using my account - there is an order in my history I never placed. I already looked through the help center and could not find an answer. Appreciate it. — Skyler Kaur",account-access
T-90127,email,Need assistance,"Hi, You charged the wrong card - the order should have gone on the card ending 1606. I placeed the order during the sale. Thanks.",billing
T-90128,webform,Delivery problem,Customs is asking me to pay $89.95 in import fees for order NW-78291 - was that supposed to happen. The package was a gift for my son. Thanks in advance.,shipping
T-90129,email,Promo code problem,"Hi there, The promo code SUMMER20 did not apply at checkout and I was charged full price. The package was a gift for my son. Thanks in advance. — Dana Brooks",billing
T-90130,chat,Membership billing,Why was I charged $149.00 for shipping when the site says orders over $75 ship free. Order number is NW-42239 if that helps?,billing
T-90131,webform,Membership billing,"Hi there, The price of the Trailqed hiking boots dropped to $118.50 the day after I bought it - do you do price adjustments. I have been a customer ofr three seasons and this is the first problem I haev had. Thanks in advance.",billing
T-90132,webform,Help,"Hello, When I log in my ordr histor shows someone else's orders and charges. I contacted you a few days ago about this and nevver heard back. Hope you can help.",account-access
T-90133,webform,Double charged,"Good morning, My return was received ten days ago but the refund of $214.95 still is not back on my card. I contacted you a few days ago about this and never heard back. Thanks.",billing
T-90134,email,Where is my order,The tracking page says delivered but there is no package anywhere at my address. I already looked through the help center and could not find an answer. Appreciate it. — Kai Patel,shipping
T-90135,chat,2FA problem,The password reset email never arrives - I have checked spam several times. The order had the Drifter 10 kayak and some smaller items in it.,account-access
T-90136,email,Charge I do not recognize,"Hello Northwind, The price of the Ember camp stove dropped to $312.99 the day after I bought it - do you do price adjustments. I contacted you a few days ago about this and never heard back. Thanks in advance. — Dana Brooks",billing
T-90137,email,Problem with my order,"Hi, My package arrived with the box crushed and the Dayhike 22 backpack inside looks okay. Please advise. — Dana Brooks",shipping
T-90138,email,Problem with my order,"Hi there, I cannot open the tracking link for my order without signing in and the sign in page just loops. This is for an upcoming canoe trip. Appreciate it. — Taylor Okafor",account-access
T-90139,webform,Problem with my order,"Hi there, Cay I get an itemized receipt or invoice for ordr NW-45051  -I need it for work.",billing
T-90140,email,Shipping delay,Only half of order NW-73651 showed up - the Voltpack 20K power bank is missing from the box. I need this sorted before the weekend. Appreciate it. — Reese Larsen,shipping
T-90141,chat,Late order,I need the Cascade 20 sleeping bag before this weekend - can you expedite shipping.,shipping
T-90142,chat,Question,there is a charge from Northwind on my statement for $89.00 that I do not recognize?,billing
T-90143,webform,Order not delivered,"following up - Good morning, Only half of order NW-52444 showed up - the Aurora camp lantern is missing from the box. please cancel my trail club membership - i am still being billed $9.99 a month. I contacted you a few days ago about this and never heard back. Thanks.",shipping
T-90144,email,Urgent,"Hello Northwind, Customs is asking me to pay $149.95 in import fees for order NW-70338 - was that supposed to happen. when i log in my order history shows someone else's orders and charges. how do i change the email address on my account - i no longer have access to the old one. I tried calling but the wait time was over 45 minutes. Hope you can help. — Reese Kim",shipping
T-90145,email,Help,"Hello Northwind, If I refuse the package at delivery do I still have to pay return shipping. I already looked through the help center and could not find an answer. — Reese Kim",shipping
T-90146,email,Problem with my order,"Hi, The estimated delivery on my order keeps moving - it has changed three times this week. I already looked through the help center and could not find an answer. Thanks. — Casey Kim",shipping
T-90147,chat,Membership biling,the tracking says my order was delivered but I was charged for shipping insurance I never added. The order had the Cascade 0 sleeping bag and some smaller items in it,billing
T-90148,chat,Where is my order,The invoice in the box lists a Halo clmbing hemet that is not what I was charged for online - which one is actually shipping to me??,shipping
T-90149,chat,Account security concern,The verification link in the signup email says it has expired. Order number is NW-75514 if that helps,account-access
T-90150,chat,Need assistance,The price of the Otter dry bag dropped to $64.99 the day after I bought it - do you do price adjustments. I tried calling but the wait time was over 30 minutes?,billing
T-90151,email,Tracking question,"Good morning, My refund was approved but the replacement Cascade 20 sleeping bag still has no tracking number. I need this sorted before the weekend. — Morgan Patel",shipping
T-90152,email,Change my email,The email receipt went to my old address - I need to update where my invoiices get sent. Order number is NW-68144 if that elps. Hope you can help.,account-access
T-90153,email,Tracking question,"Hi there, Can you hold the shipment at a DHL pickup point instead of delivering to my door. The order had the Riverbend sandals and some smaller items in it. Thanks.",shipping
T-90154,chat,Question,I was charged twice for order NW-53225 - there are two $89.95 charges on my card. please delete my account and all my personal data.,billing
T-90155,email,Order status,"Hello Northwind, Where is my order? The Slate sunglasses was supposed to arrive last Friday. Thank you. — Morgan Brooks",shipping
T-90156,webform,Need assistance,"Hey, The password reset email never arrives - I have checked spam twice. The package was a gift for my partner. Thank you.",account-access
T-90157,email,Urgent,"Good morning, I changed phones and can no longer get the two factor authentication code. I placed the order on the 3rd. Hope you can help. — Sam Larsen",account-access
T-90158,email,Problem with my order,FedEx tracking shows my package has been sitting in Newark for over two weeks. I placed the order on the 3rd. Thanks. — Jamie Larsen,shipping
T-90159,chat,Refund not received,The price of the Lumen 800 headlamp dropped to $89.95 the day after I bought it - do you do price adjustments. Order number is NW-59715 if that helps,billing
T-90160,email,Urgent,"Good morning, Can I change the delivery address on order NW-79427 before it ships. the promo code basecamp10 did not apply at checkout and i was charged full price. Order number is NW-75953 if that helps. — Skyler Brooks",shipping
T-90161,email,Membership billing,"Hi there, I was charged sales tax on order NW-53946 but my state does not tax clothing. The package was a gift for my daughter. Thanks.",billing
T-90162,chat,Account locked,I think someone else has been using my account - there is an order in my history I never placed. This is for an upcoming family trip,account-access
T-90163,email,Promo code problem,"Helllo, You refunded the item but not the original shipping cost on orde NW-57860. I placed the order last wee. Appreciate it.",billing
T-90164,email,Package missing,"Hi there, The estimatde ddelivery on my order keeps movnig - ith as changed twice this week. Thank you. — Jamie Kim",shipping
T-90165,chat,Order status,I need the Slate sunglasses before my trip on the 14th - can you expedite shipping. The order hadt he Puffin down vest and some smaller items in it,shipping
T-90166,email,Support requst,"Hi there, My package arrived with the box torn open and the Puffin down vest inside looks damaged. The package was a gift for my son. Thanks in advance. — Sam Chen",shipping
T-90167,webform,Problem with my order,"Hello, Customs is asking me to pay $149.95 in import fees for order NW-43479 - was that supposed to happen. I tried calling but the wait time was over 20 minutes. Thanks.",shipping
T-90168,email,Membership billing,I returned the Drifter 10 kayak and the refund I got was $189.50 short of what I paid. This is for an upcoming camping trip. Thanks in advance.,billing
T-90169,webform,Support request,"Hi there, mya ccount seems to be locked after too mnay login attempts. Thanks.",account-access
T-90170,webform,Ned assistance,"Hi there, Can I change the delivery address on order NW-67194 before it ships. I paid with the card ending 2162. Thank you.",shipping
T-90171,webform,Payment issue,My account shows an order I already cancelled and the charge is still pending on my card. I need this sorted before the weekend.,billing
T-90172,webform,Urgent,please call me back 804-555-2999,account-access
T-90173,email,Need assistance,"Hi there, The password reset email never arrives - I have checked spam twice. I have been a customer for a long time and this is the first problem I have had.",account-access
T-90174,chat,Tracking quesiton,the estimated delivery on my order keeps moving - it has changed twice this week. I tried calling but the wait time was over 20 minutes,shipping
T-90175,webform,Order status,"Hello Northwind, If I refuse the package at delivery do I still have to pay return shipping. I have been a customer for three seasons and this is the first problem I have had. Please advise.",shipping
T-90176,chat,Help,the password reset email never arrives - I have checked spam twice. Order number is NW-73921 if that helps??,account-access
T-90177,chat,Urgent,My refund was approved but the replaceemnt Puffin down vest still has no tracking number??,shipping
T-90178,chat,Urgent,i keeep getting logged out every time the app updates. I paid with the card ending 7749??,account-access
T-90179,email,Support request,"Hi, Where is my order? The Aurora camp lantern was supposed to arrive on Monday. Hope you can help.",shipping
T-90180,chat,Problem with my order,my gift card balance shows $79.99 but checkout would not let me use it. I contacted you a few days ago about this and never heard back??,billing
T-90181,email,Order status,"Hey, Customs is asking me to pay $24.50 in import fees for order NW-60621 - was that supposed to happen. The order had the Trailhead trail runners and some smaller items in it. Thanks in advance. — Skyler Garcia",shipping
T-90182,webform,Urgent,"Hey, I need the Torrent rain jacket before Friday -c an you expedite shpping. The package was a gift for my son .Pleasse advise.",shipping
T-90183,chat,Support request,my refund was approved but the replacement Halo climbing helmet still has no tracking number. I paid with the card ending 8048?,shipping
T-90184,chat,Where is my order,Customs is asking me to pay $64.99 in import fees for order NW-70603 - was that supposed to happen. my account seems to be locked after too many login attempts.,shipping
T-90185,webform,Need asistance,"Hi there, The tracking page says delivered but there is no package anywhere at my address. Thanks.",shipping
T-90186,webform,Question,"Hey, I cancelled order NW-48648 minutes after placing it but the hcarge of $89.00 still wentt hrouh. Order number is NW-62660 if that helps. Hope you can help.",billing
T-90187,chat,Late order,The tracking page says delivered but there is no package anywhere at my address. Order number is NW-42134 if that helps?,shipping
T-90188,email,Urgent,"Hi, If I refuse the package at delivery do I still have to pay return shipping. I paid with the card ending 4836.",shipping
T-90189,email,Order not delivered,"Hey, FedEx tracking shows my package has been sitting in Louisville for five days. This is for an upcoming thru-hike. — Skyler Garcia",shipping
T-90190,chat,Support request,The tracking says my order was delivered but I was charged for shipping insurance I never added. I already looked through the help center and could not find an answer.,billing
T-90191,chat,Refund not received,there is a charge from Northwind on my statement for $42.99 that I do not recognize. I already looked through the help center and could not find an answer??,billing
T-90192,email,Package missing,"Hey, I need the Trailhead hiking boots before this weekend - can you expedite shipping. This is for an upcoming camping trip. Thank you. — Avery Larsen",shipping
T-90193,email,Shipping dealy,"Hello, Only half of order NW-46073 showed up - the Riverbend sandals is missing from the box. I have been a customer for a long time and this is the first problem I have had. Thank you. — Casey Kaur",shipping
T-90194,webform,Urgent,"Hi there, I was charged sales tax on order NW-70901 bu tm ystate does not tax clothing. Please advise.",billing
T-90195,email,2FA problem,I think someone else has been using my account - there is an order in my history I never placed. I tried calling but the wait time was over 30 minutes. Please advise. — Rowan Kaur,account-access
T-90196,webform,Acocunt locked,The verification link in the signup email says it has expired. I contacted you last week about this and never heard back. Thanks.,account-access
T-90197,webform,Change my email,"Hi there, The password rseet emali never arrives - I have checked spam several times. The package was a gift for my daughter. Thanks in advance.",account-access
T-90198,webform,Problem wtih my order,"Hi there, You refunded the item but not the original shipping cost on order NW-64667. Hope you can help.",billing
T-90199,email,Cannot log in,"Hey, I cannot log in to my account - it keeps saying my password is wrong even after I reset it. I already looked through the help center and could not find an answer. Please advise. — Quinn Okafor",account-access
T-90200,webform,Cannot log in,"Good morning, How do I change the email address on my account - I no longer have access to the old one. I have been a customer for a long time and this is the first problem I have had.",account-access
T-90201,email,Cannot log in,"Hi there, When I log in my order history shows someone else's orders and charges.",account-access
