ticket_id,channel,subject,body
T-20027,chat,Need assistance,my order NW-71702 was placed over two weeks ago and the tracking still says label created. please delete my account and all my personal data?
T-20028,email,Double charged,There is a charge from Northwind on my statement for $64.50 that I do not recognize. The order had the Merino trail socks and some smaller items in it. Appreciate it.
T-20029,chat,Order not delivered,i need the Voltpack 20K power bank before this weekend - can you expedite shipping.
T-20030,email,Billing question,"Hello, I cancelled order NW-41014 an hour after placing it but the charge of $42.95 still went through. Please advise. — Skyler Nguyen"
T-20031,email,Problem with my order,"Hey, Is the Ridgeline 4P tent a true 4-season tent or more of a summer shelter. I already looked through the help center and could not find an answer. Please advise. — Alex Brooks"
T-20032,webform,Need assistance,"Hello, Why was I charged $42.00 for shipping when the site says orders over $75 ship free. I need this sorted before Friday. Appreciate it."
T-20033,chat,Need assistance,how do I change the email address on my account - I no longer have access to the old one. I tried calling but the wait time was over 20 minutes
T-20034,chat,Billing question,my return was received a week ago but the refund of $79.50 still is not back on my card.
T-20035,email,Shipping delay,"Hello, Customs is asking me to pay $64.99 in import fees for order NW-69865 - was that supposed to happen. Order number is NW-43352 if that helps. Thank you. — Riley Okafor"
T-20036,webform,Question,"Hi, My account shows an order I already cancelled and the charge is still pending on my card. I contacted you a few days ago about this and never heard back. Appreciate it."
T-20037,webform,Double charged,"Hey, You charged the wrong card - the order should have gone on the card ending 2542. Please advise."
T-20038,chat,Need assistance,My exchange shipped but tracking says it is going back to you instead of to me. the password reset email never arrives - i have checked spam twice.
T-20039,email,Account security concern,"Hello, The verification lint in the signup email says it has exired. Thanks. —S am Patel"
T-20040,email,Need assistance,"Good morning, You sent the wrong item - I ordered the Voltpack 20K power bank and got a Otter dry bag instead. I need this sorted before the end of the month. Thanks in advance."
T-20041,webform,Problem withm y order,"Hi, The price of the Slate sunglasses dropped to $19.99 the day fater I bought it - do you do price adjustments. the invoice in the box lists a cascade 20 sleeping bag that is not what i was charged for online - which one is actually shipping to me. ups tracking shows my package hsa befn sitting in customs for two days. I placed the order about ten days ago. Appreciate it."
T-20042,webform,Problem with my order,The password reset emal never arrives - I have chceke spam seeral times. Thanks in advance.
T-20043,webform,Damaged product,"Good morning, How do I get a return shipping label for order NW-46328. Please advise."
T-20044,chat,Product question,How long does the Lumen 800 headlamp run on a full charge at the highest brightness. I placed the order about ten days ago??
T-20045,chat,Urgent,The estimated delivery on my order keeps moving - it has changed three times this week. I placed the order on the 3rd??
T-20046,email,Shipping delay,"Hey, My order NW-53557 was placed five days ago and the tracking still says label created. i cannot log in to my account - it keeps saying my password is wrong even after i reset it. Order number is NW-47214 if that helps. Thanks. — Rowan Ortiz"
T-20047,email,Need assistance,"Good morning, I paid $19.99 extra for two day shipping and it has been four days. Thank you."
T-20048,chat,Support request,does the Halo climbing helmet ever go on sale - it was cheaper during the last promo. I have been a customer for three seasons and this is the first problem I have had??
T-20049,email,Return label,"Hi, How do I get a return shipping label for order NW-77133. I already looked through the help center and could not find an answer. Please advise. — Jamie Larsen"
T-20050,email,Urgent,"Hi there, There is a charge from Northwind on my statement for $118.00 that I do not recognize. The package was a gift for my daughter. Thanks in advance."
T-20051,email,Urgent,"Hi, My exchange shipped but tracking says it is going back to you instead of to me. customs is asking me to pay $118.50 in import fees for order nw-58194 - was that supposed to happen. I need this sorted before Friday. Hope you can help. — Avery Patel"
T-20052,email,Support request,"Hey, You rfunded the item butn ot the original shipping cost on order NW-52246.H ope you can help."
T-20053,chat,Warranty claim,How do I get a return shipping label for order NW-71263. The package was a gift for my partner.
T-20054,email,Help,"Hey, Can you hold the shipment at a UPS pickup point instead of delivering to my door. I placed the order on the 3rd. Appreciate it. — Quinn Garcia"
T-20055,email,Refund not received,"Hi there, The tracking says my order was delivered but I was charged for shipping insurance I never added. Order number is NW-47678 if that helps. Appreciate it. — Taylor Silva"
T-20056,email,Where is my order,My package arrived with the box crushed and the Glacier 45 cooler inside looks okay. This is for an upcoming camping trip. Please advise. — Reese Whitfield
T-20057,email,Problem with my order,Do the Trailhead hiking boots run narrow - I am usually a 11. I contacted you a few days ago about this and never heard back. — Rowan Novak
T-20058,email,Urgent,What is the temperature rating on the ascade 20 sleeping bag really good down to. I contacted you a few days ago about this and never heard back. Hope you can help.
T-20059,chat,Help,What fuel does the Ember camp stove take and can I fly with the caisterr .i cancelled order nw-75109 he same day after placing it but the charge of $214.99 still went through?
T-20060,email,Help,"Hey, I returned the Riverbend sandals and the refund I got was $79.50 short of what I paid. I have been a customer for three seasons and this is the first problem I have had. Thanks in advance. — Devon Chen"
T-20061,chat,Urgent,the verificaion link in the signup email says it has expired. I paid with the card pnding 3281.
T-20062,webform,Support request,"Hi, I was charged twice for order NW-74774 - there are two $118.99 charges on my card. I have been a customer for years and this is the first problem I have had."
T-20063,chat,Support request,is the Ridgeline 2P tent a true 4-season tent or more of a summer shelter. I paid with the card ending 7180?
T-20064,email,Return status,"Hey, The return label you emailed me shows the worng delivery adress for the wraehouse. Please advise. — Reese Whitfield"
T-20065,webform,Spec question,How long does the Lumen 400 headlamp run on a full charge at the highest brightness. Order number is NW-43620 if that helps. Thanks.
T-20066,email,Return label,"Hi there, I received someone else's package with my label on it - I assume they have my Puffin down vest. Thank you. — Quinn Brooks"
T-20067,email,Login trouble,My order history disappeared after I merged my old account with my new email. I paid with the card ending 5925. Hope you can help.
T-20068,webform,Need assistance,"Hello, My order NW-51701 was placed two weeks ago and the tracking still says label created. I placed the order on the 3rd. Appreciate it."
T-20069,webform,Question,"Good morning, I sent my return back five days ago and have not heard anything since. i think someone else has been using my account - there is an order in my history i never placed. I need this sorted before the weekend. Hope you can help."
T-20070,email,Double charged,I was charged twice for order NW-75594 - there are two $249.50 charges on my card. I already looked through the help center and could not find an answer. Thanks in advance.
T-20071,email,Question,"Hello, The rtacking says my order was delivered but I was charged far shipping insurace I never added. Please advise. — Avery Kim"
T-20072,email,Order not delivered,"Hey, My refund was approved but the replacement Cascade 20 sleeping bag still has no tracking number. I placed the order last week. — Morgan Larsen"
T-20073,webform,Help,"Hey, You split my order into two shipments and only one has any tracking movement. The packagew as a gift for my partner."
T-20074,email,Wrong item received,"Hello Northwind, I was charged a restocking fee of $118.95 on my return - nothing on the site mentioned that. Thanks in advance. — Casey Kim"
T-20075,chat,Urgent,where is my order? The Ridgeline 2P tent was supposed to arrive yesterday. I tried calling but the wait time was over 30 minutes
T-20076,email,Account security concern,"Hello Northwnd, My order history disappeared after I merged my old account with my new email. I placed the order during thes ale. Hope you can help. — Sam Ngyen"
T-20077,email,Need assistance,I cancelled order NW-42111 the same day after placing it but the charge of $249.95 still went through. Order number is NW-65010 if that helps. — Quinn Whitfield
T-20078,email,Support request,"Hello Northwind, The estimated delivery on my order keeps moving - it has changed three tmies this week. Thanks in advance. — Rowan Haddad"
T-20079,email,Change my email,My order history disappeared after I merged my old account with my new email. The package was a gift for my daughter. Hope you can help. — Kai Kim
T-20080,chat,Urgent,i was charged twice for order NW-41599 - there are two $79.50 charges on my card. I need this sorted before the end of the month
T-20081,email,Tracking question,"Hi there, USPS tracking shows my package has been sitting in customs for three days. The package was a gift for my partner. Appreciate it."
T-20082,email,Support request,"Hello, I was charged sales tax on order NW-47831 but my state does not tax clothing. Please advise. — Dana Larsen"
T-20083,email,,NW-51764
T-20084,chat,Problem with my order,The invoice in the box lists a Puffin down vest that is not what I was charged for online - which one is actually shipping to me. This is for an upcoming thru-hike??
T-20085,email,Support request,"Hi there, I was charged sales tax on order NW-51992 but my state does not tax clothing. I have been a customer for three seasons and this is the first problem I have had. Please advise. — Rowan Kim"
T-20086,chat,Charge I do not recognize,the promo code BASECAMP10 did not apply at checkout and I was charged full price.
T-20087,chat,Billing question,please cancel my Trail Club membership - I am still being billed $12.99 a month.
T-20088,email,Package missing,"Hello Northwind, If I refuse the package at delivery do I still have to pay return shipping. I already looked through the help center and could not find an answer. — Skyler Okafor"
T-20089,email,Defective item,I received someone else's package with my label on it - I assume they have my Glacier 45 cooler. The order had the Ember camp stove and some smaller items in it. Please advise.
T-20090,email,Account security concern,"Hi there, How do I change the email address on my account - I no longer have access to the old one. I placed the order last week. Please advise."
T-20091,email,Problem with my order,"Good morning, The email receipt went to my old address - I need to update where my invoices get sent. i am past the 30 day window but the dayhike 22 backpack has a manufacturing defect - does the warranty cover it. is the ridgeline 4p tent still returnable if i washed it. Order number is NW-52866 if that helps. Thanks."
T-20092,email,Support request,"Good morning, Does the Ridgeline 2P tent come with a repair kit. The order hd the Merino trail socks and some smaller items in it. Thanks in advance.—  Riley Silva"
T-20093,email,Package missing,"Hey, The invoice in the box lists a Trailhead hiking boots that is not what I was charged for online - which one is actually shipping to me. I already looked through the help center and could not find an answer. Thanks. — Alex Novak"
T-20094,email,Care instructions,"Hello, What is the temperature rating on the Cascade 20 sleeping bag really good down to. I paid with the card ending 7593. — Avery Garcia"
T-20095,webform,Charge I do not recognize,I was charged twice for order NW-66041 - there are two $19.50 charges on my card. I have been a customer for years and this is the first problem I have had. Hope you can help.
T-20096,webform,Double charged,Please cancel my Trail Club membership - I am still being billed $9.99 a month. I paid with the card ending 5656.
T-20097,email,Need assistance,"Hi there, What fuel does the Ember camp sqve take and can I fly with the canister. This is for an upcoming thru-hike. Thank you."
T-20098,email,Ordern ot delivered,"Good morning, My package arrived with the box crushed and the Ember fuel canister inside looks damaged. The order had the Firefly bug net and some smaller items in it. Hope you can help."
T-20099,email,Need assistance,"Hello, Do the Trailhead hiking boots run true to size - I am usually a 9. I contacted you last week about this and never heard back. Thanks in advance."
T-20100,webform,Problem with my order,"Hi, The zipper on my Trailhead trail runners snapped after a month - I want to make a warranty claim. This iss for an upcoming backpackine rtip. Appreciate it."
T-20101,email,Productt question,"Hi, When will the Glacier 45 cooler be back in stock in the green colour. I already looked through the help center and could not find an answer. Please advise."
T-20102,webform,Change my email,"Hello Northwind, I cannot open the tracking link for my order without signing in and the sign in page just loops. I paid with the card ending 5567. Please advise."
T-20103,chat,Question,My exchange shipped but tracking says it is going back to you instead of to me
T-20104,webform,Help,I was charged twice for odrer NW-47877 - there are two $19.00 charges on my caad. I alread looked through the help center and could not find an answer. Appreciate it.
T-20105,email,Problem with my order,How long does the Lumen 400 headlamp run on a full charge at the highest brightness. I have been a customer for three seasons and this is the first problem I have had. Thank you. — Jordan Whitfield
T-20106,email,Spec question,"Hey, Is the Ridgeline 4P tent a true 4-season tent or more of a summer shelter. i was charged sales tax on order nw-60614 but my state does not tax clothing. my return was received five days ago but the refund of $118.99 still is not back on my card. Appreciate it."
T-20107,chat,Membership billing,i was charged sales tax on order NW-53050 but my state does not tax clothing. The order had the Merino trail socks and some smaller items in it??
T-20108,email,Sizing question,"Hey, How long does the Lumen 800 headlamp ru on a full charge at the highest brightness. I contacted you last week about this and never heard back. Pleas advise. — Skyler Ortiz"
T-20109,email,Urgent,The tracking says my order was delivered but I was charged for shipping insurance I never added. This is for an upcoming backpacking trip. Thanks. — Skyler Patel
T-20110,email,Late order,The invoice in the box lists a Windbreak fleece that is not what I was charged for online - which one is actually shipping to me. Appreciate it.
T-20111,webform,Help,When Il og in my order history shows someone else's orders and charges. The order had the Windbreak fleece aand some smaller items in it. Please advise.
T-20112,email,Help,"Good morning, Why was I charged $214.95 for shipping when the site says orders over $75 ship free. I paid with the card ending 8473. Thank you. — Avery Chen"
T-20113,webform,Order status,"Hello Northwind, The tracking page says delivered but there is no package anywhere at my address. I tried calling but the wait time was over 30 minutes. Thanks."
T-20114,webform,Help,"Good morning, Customs is asking me to pay $118.95 in import fees for order NW-70677 - was that supposed to happen. I need this sorted before the weekend. Thanks in advance."
T-20115,webform,Support request,"Hello, The Drifter 10 kayak showed up scratched straight out of the box and I want a replacement. Thank you."
T-20116,chat,Delivery problem,The tracking page says delivered but there is no package anywhere at my address. Order number is NW-62152 if that helps?
T-20117,email,Urgent,"Good morning, Can I get an itemized receipt or invoice for order NW-65596 - I need it for taxes. what is the temperature rating on the cascade 0 sleeping bag really good down to. I paid with the card ending 1218. Appreciate it. — Devon Nguyen"
T-20118,email,Tracking question,"Hi there, Customs is asking me to pay $89.00 in import fees for order NW-59489 - was that supposed to happen. The order had the Torrent rain jacket and some smaller items in it. Appreciate it."
T-20119,webform,Return status,"Hello Northwind, You sent the wrong item - I ordered the Puffin down vest and got a Ember camp stove insteas. I have been a customer for a long time and this is the first problem I have had. Hope you can help."
T-20120,webform,Charge I do not recognize,"Hello, My return was received four days ago but the refund of $89.00 still is not back on my card. I already looked through the help center and could not find an answer. Thank you."
T-20121,webform,Password reset not working,"Hello, I cannot log in to my acocunt - it keeps saing my password is wrong even after I reset iit. I paid with the card ending 4214. Thanks."
T-20122,webform,Question,"Hello, What iss your return policy on sale items like the Ember fuel canister. i think someone else has been using my account - there is an order in my history i never placed. I have been a customer for a long tim and this is the first problem I have had. Thanks in advance."
T-20123,chat,Urgent,I need the Basecamp camp chair before my trip on the 14th - can you expedite shipping. The package was a gift for my partner.
T-20124,chat,Help,i want to return the Trailhead trail runners from order NW-72523 for a refund?
T-20125,webform,Help,"Good morning, The return label you emailed me shows the wrong delivery address for the warehouse. I tried calling but the wait time was over 30 minutes."
T-20126,email,Account locked,"Good morning, How do I change the email address on my account - I no longer have access to the old one. I paid with the card ending 1265. Thanks. — Alex Ortiz"
T-20127,email,,??????
T-20128,chat,Stokc question,does the Puffin down vest ever go on sale - it was cheaper during the last promo. I have been a customer for years and this is the first problem I have had.
T-20129,webform,Lat eorder,"Hey, You split my order into two shimpnts and only one has anny tracking movement. Appreciate it."
T-20130,chat,Wrong item received,How do I get a return shipping label for order NW-41278. I already looked through the help center and could not find an answer
T-20131,chat,Urgent,I sent my return back four days ago and have not heard anything since. This is for an upcoming backpacking trip?
T-20132,webform,Billing question,"Hello, Theree is a charge from Northwind on my statementt for $249.99 that I ddo not reecognize. Thanks."
T-20133,chat,Tracking question,The tracking page says delivered but there is no package anywhere at my address. This is for an upcoming thru-hike??
T-20134,webform,Return request,"Hi there, Is the Riverbend sandals still returnable if I opened the packaging. I tried calling but the wait time was over 30 minutes. Hope you can help."
T-20135,email,Compatibility question,"Good morning, Can the Voltpack 20K power bank charge the Lumen 800 headlamp over USB. Order number is NW-74568 if that helps. Thanks."
T-20136,webform,Question,"Good morning, There is a charge from Northwind on my statement for $19.99 that I do not recognize. Hope you can help."
T-20137,webform,Help,"Hi there, I received someone else's package with my label on it - I assume they have my Ember fuel canister. Thanks in advce."
T-20138,chat,Need assistance,iss the Ridgeline 4P tent a true 4-season tent or more of a summer shelter. The package was a gfit for my artner??
T-20139,email,Question,"Hello Northwind, I was charged a restocking fee of $189.50 on my return - nothing on the site mentioned that. The package was a gift for my son. Thank you."
T-20140,email,Problem with my order,"Hello Northwind, You split my order into two shipments and only one has any tracking movement. I need this sorted before Friday. Thanks. — Sam Brooks"
T-20141,email,Need assistance,The tracking page says delivered but there is no package anywhere at my address. I paid with the card ending 1323. Hope you can help.
T-20142,chat,Care instructions,If the Voltpack 20K power bank does not fit can I return it for free or is return shipping on me. I contacted you a few days ago about this and never heard back??
T-20143,chat,Urgent,the verification link in the signup email says it has expired. if the windbreak fleece does not fit can i return it for free or is return shipping on me
T-20144,webform,Order status,"Hello, I paid $312.50 extrra for two day shhipping and it has been five days .Thanks."
T-20145,webform,Password reset not working,"Hey, I keep getting logged out every time the app updates. I already looked through the help center and could not find an answer. Hope you can help."
T-20146,email,Queation,"Good morning, You sent the wrong item - I ordered hte Aurora camp lantern and got a Firefly bug net instead. Order number is NW-70079 if that helps. Thanks in advance."
T-20147,webform,Spuport request,"Good morning, The return label you emailed me shows the wrong delivery address for the warehouse. I tried calling but the wait time was over 30 minutes. Please advise."
T-20148,email,Urgent,"Hello, Can you hold the shipment at a FedEx pickup point instead of delivering to my door. Hope you can help."
T-20149,webform,Delivery problem,"Good morning, You split my order into two shipments and only one has any tracking movement. I contacted you last week about this and never heard back. Hope you can help."
T-20150,chat,Spec question,Is there a charge for the Trail Club membership that comes up at checkout. The package was a gift for my daughter??
T-20151,webform,Urgent,"Hey, USPS tracking shows my package has been sitting in Memphis for five days. I paid with the card ending 7933. Hope you can help."
T-20152,webform,Defective item,"Hello, I the Widbreak fleece still returnable if I used it once. I contacted you a few dyas ago about this and never hear dback. Thanks."
T-20153,email,Help,"Good morning, I need the Ridgeline 2P tent before my trip on the 14th - can you expedite shipping. Order number is NW-70755 if that helps. Thank you. — Morgan Chen"
T-20154,chat,Payment issue,my account shows an order I already cancelled and the charge is still pending on my card. I contacted you last week about this and never heard back.
T-20155,chat,Problm with my order,can I machine wash the Windbreak fleece or is it dry clean only. Order number is NW-46715 if that helps??
T-20156,email,Question,"Hi, Can I change the delivery address on order NW-75579 before it ships. This is for an upcoming thru-hike. Hope you can help."
T-20157,email,Where is my order,"Hello Northwiind, If I refuse the package at delivery o I still tave to pam return shipping. I have been a customer for years and this is the first problem I have had. Hope you can help."
T-20158,email,Help,"Hey, I received someone else's package with my label on it - I assume they have my Cascade 20 sleeping bag. Order number is NW-73922 if that helps. Thanks in advance."
T-20159,chat,Order status,Only half of order NW-46963 showed up - the Drifter paddle is missing from the box. can the voltpack 20k power bank charge the aurora camp lantern over usb??
T-20160,webform,Need assistance,"Hello, Is there a charge for the rTail Club membership that comes up at checkout. fedex tracking shows my package has been sitting in louisville for over two weeks. The order had the Ridgeline 4P tent and some smaller items in it."
T-20161,chat,Question,i was charged a restocking fee of $149.99 on my return - nothing on the site mentionedt hat
T-20162,webform,Double charged,"Good morning, My account shows an order I already cancelled and the charge is still pending on my card. The package was a gift for my partner. Please advise."
T-20163,email,Login trouble,"Hello, I cannot log in to my account - it keeps saying my password is wrong even after I reset it. The order had the Cascade 20 sleeping bag and some smaller items in it. Thanks in advance."
T-20164,webform,Problem with my order,"Good morning, You refunded the item but not the original shipping cost on order NW-74785. Thank you."
T-20165,email,Refund not received,"Hi there, I returned the Cirrus trekking poles and the refund I got was $129.00 short of what I paid. Thank you. — Kai Whitfield"
T-20166,email,Tracking question,"Hey, Can I change the delivery address on order NW-69553 before it ships. I have been a customer for years and this is the first problem Ih ave had. Thank you. — Jamie Kaur"
T-20167,email,Need aassistance,"Hi, Whdre is my order? The Anchor bear canister was supposed to arrive two days ago. Order number is NW-69562 if that helps. Please advvise. — Jamie Brooks"
T-20168,chat,Urgent,I was charged a restocking fee of $89.50 on my return - nothing on the site mentioned that??
T-20169,email,Sizing question,What is the temperature rating on the Cascade 20 sleeping bag really good down to. Thanks in advance. — Avery Nguyen
T-20170,webform,Urgent,"Good morning, Can I get an itemized receipt or invoice for order NW-57689 - I need it for my expense report. Thanks in advance."
T-20171,email,Need assistance,"Hello Northwind, The email receipt went to my old address - I need to update where my invoices get sent. I contacted you last week about this and never heard back. — Kai Brooks"
T-20172,email,Wrong item received,"Hi, I want to return the Firefly bug net I bought with the TRAIL15 promo code - do I get the full price or the discounted price back. I have been a customer for years and this is the first problem I have had. Thanks. — Jamie Patel"
T-20173,email,Return status,"Hello, Please cancel the exchange on order NW-74819 - I just want my money back on the return instead. The order had the Trailhead trail runners and some smaller items in it. Thanks. — Morgan Kaur"
T-20174,email,Problem with my order,I need the Ember fuel canister before this weekend - can you expedite shipping. I already looked through the help center and could not find an answer. Appreciate it.
T-20175,webform,Question,"Hi there, I want to return the Cirrus trekking poles from order NW-42661 for a refund. I contacted you last week about this and never heard back. Thanks."
T-20176,email,Warranty claim,"Hey, I was charged a restocking fee of $42.95 on my return - nothing on the site mentioned that. The package was a gift for my son. Thanks."
T-20177,email,Compaatibility question,"Hi, Do the Trailhead hiking boots run wide - I am usually a 1.0 I already looked through the help center and could not find an answer. Appreciate it. — Rowan Nguyen"
T-20178,email,Stock question,"Hello, Can I machine wash the Puffin down vest or is it dry clean only. I already looked through the help center and could not find an answer. Thanks in advance."
T-20179,webform,Question,"Hey, Can I get an itemized receipt or invoice for order NW-71515 - I need it for work. This is for an upcoming thru-hike. Appreciate it."
T-20180,email,Support request,"Hi, What fuel does the Ember camp stove take and can I fly with the canister. Order number is NW-76258 if thatt helps .Thanks."
T-20181,chat,Promo code problem,the tracking says my order was delivered but I was charged for shipping irsurance I never added. The order had the Basecamp campc hair and some smaller items in it
T-20182,email,Question,"Hi there, My package arrived with the box crushed and the Firefly bug net inside looks okay. I tried calling but the wait time was over 45 minutes. Thank you. — Devon Larsen"
T-20183,chat,Question,please cancel the exchange on order NW-45157 - I just want my money back on the return instead. my gift card balance shows $129.95 but checkout would not let me use it.
T-20184,chat,Defective item,The return label you emailed me shows the wrong delivery address for the warehouse. This is for an upcoming family trip?
T-20185,webform,Package missing,Can I change the delivery address on order NW-50671 before it ships. I have been a customer for a long time and this is the first problem I have had. Thanks.
T-20186,webform,Need assistance,"Hello, How do I get a return shipping label for order NW-49025. I need this sorted before the end of the month. Hope you can help."
T-20187,email,Need assistance,"Hi there, The tracking says my order was delivered but I was charged for shipping insurance I never added. Hope you can help."
T-20188,email,Specq uestion,"Hi there, Wht is the temperature rating on theC ascade 0 sleeping bag really good down to.I  paid with the card ending 4504. — Rowan Silva"
T-20189,email,Problem with my order,The Basecamp camp chair does not fit - how do I exchange it for the next size up. Appreciate it.
T-20190,email,Billing question,"Hi there, My account shows an order I already cancelled and the charge is still pending on my card. Thanks."
T-20191,chat,Payment issue,can I get an itemized receipt or invoice for order NW-57059 - I need it for work. I already looked through the help center and could not find an answer?
T-20192,chat,Question,i want to return the Anchor bear canister I bought with the SUMMER20 promo code - do I get the full price or the discounted price back. I tried calling but the wait time was over 30 minutes.
T-20193,email,Return status,"Hey, I sent my return back five days ago and have not heard anything since. I tried calling but the wait time was over 30 minutes. Thanks. — Jamie Larsen"
T-20194,email,Invoice request,I was charged twice for order NW-45340 - there are two $58.95 charges on my card. do the trailhead hiking boots run narrow - i am usually a 10. is the torrent rain jacket actually waterproof or just water resistant. I contacted you last week about this and never heard back. Thank you. — Dsna Whitfield
T-20195,chat,Odrer not delivered,Customs is asking me to pay $89.99 in import fees for order N-68405 -w as that supposed to happen. This is for an upcoming thru-hike.
T-20196,chat,Support request,My exchange shipped but tracking says it is going back to you instead of to me?
T-20197,email,Package missing,"Hi, Can you hold the shipment at a USPS pickup point instead of delivering to my door. I tried calling but the wait time was over 20 minutes. Please advise. — Alex Whitfield"
T-20198,email,Urgent,please call me back 869-555-9035
T-20199,webform,Double charged,"Hello, Please cancel my Trail Club membership - I am still being billed $9.99 a month. Order number is NW-71861 if that helps. Thanks in advance."
T-20200,email,Problem with my order,"Hi, Th epromo code TRAIL15 did not apply at checkuot and I was charged full price. Order number is NW-69932 if that helps. — Rese Patel"
T-20201,webform,Help,"Hello, You charged the wrogn card - the order shoul dhave gone on the card ending 5454. the password reset email never arrives - i have checked spam twice. I already looked through the help center and could not find an answer. Thanks."
T-20202,webform,Question,"Good morning, Does the Drifter 10 kayak ever go on sale - it was cheaper during the last promo. I already looked through the help center and could not find an answer. Thanks in advance."
T-20203,webform,Need assistance,"Hi, If the Ember camp stove does not fit can I return it for free or is return shipping on me. Hope you can help."
T-20204,webform,Login trouble,"Hi there, I think someone else has been using my account - there is an order in my history I never placed. I placed the order during the sale. Hope you can help."
T-20205,email,Urgent,"Hello Northwind, I need the Luemn 400 headlamp before this weekend - can you expedite shipping. please delete my account and all my personal data. I paid wih the card ending 3016. — Mrgan Patel"
T-20206,webform,Order not delivered,"Hi there, My refund was approved but the replacement Ridgeline 2P tent still has no tracking number. I paid with the card ending 6316. Thanks in advance."
T-20207,email,Return request,"Hi, My exchange shipped but tracking says it is going back to you instead of to me. The package was a gift for my daughter. Appreciate it. — Skyler Brooks"
T-20208,chat,Urgent,Can I change the delivery address on order NW-51027 before it ships.
T-20209,chat,Refund not reueived,You refunded the item but not the original shipping cost on order NW-51255. the email receipt went to my old address - i need to update where my invoices get sent.
