ticket_id,channel,subject,body,queue
T-10018,chat,Support request,I cancelled order NW-62073 minutes after placing it but the charge of $249.99 still went through. Order number is NW-59627 if that helps?,billing
T-10019,webform,Help,"Hi, My exchange shipped but tracking says it is going back to you instead of to me. I need this sorted before Friday. Appreciate it.",returns-warranty
T-10020,email,Urgent,"Hi, I need the Puffin down vest before this weekend - can you expedite shipping. I contacted you last week about this and never heard back. Thanks. — Jordan Novak",shipping
T-10021,email,Support request,Where is my order? The Otter dry bag was supposed to arrive two days ago. I paid with the card ending 2922. Appreciate it. — Alex Chen,shipping
T-10022,chat,Spec question,Is there a charge for the Trail Club membership that comes up at checkout,product-question
T-10023,webform,Support request,"Hi, The promo code SUMMER20 id not apply at checkout and I was charged full price .This is for an cpcoming backpacking trip. Please advise.",billing
T-10024,email,Membership billing,"Hi, There is a charge from Northwind on my statement for $24.99 that I do not recognize. The order had the Aurora camp lantern and some smaller items in it. Thanks in advance. — Riley Patel",billing
T-10025,email,Help,"Hi there, Can I machine wash the Merino trail socks or is it dry clean only.",product-question
T-10026,email,Change my email,"Good morning, I cannot open the tracking link for my order without signing in and the sign in page just loops. I contacted you last week about this and never heard back. Thanks in advance.",account-access
T-10027,email,Help,"Hi, Please delete my account and all my personal data. will the summit 65 backpack fit a 3l water bladder. when will the windbreak fleece be back in stock in size 10. I need this sorted before Friday. Thank you.",account-access
T-10028,webform,Product question,"Hi there, Does the Firefly bug net come with a stuff sack. my order nw-59862 was placed over two weeks ago and the tracking still says label created. This is for an upcoming canoe trip.",product-question
T-10029,chat,Account locked,My order history disappeared after I merged my old account with my new email. i cancelled order nw-55884 an hour after placing it but the charge of $24.99 still went through,account-access
T-10030,email,Damaged product,"Hello Northwind, What is your return policy on sale items like the Torrent rain jacket. The order had the Cirrus trekking poles and some smaller items in it. Thank you.",returns-warranty
T-10031,email,Promo coe problem,"Hi, The price of the Aurora camp lantern dropped to $312.50 the day after I bought it - do you do price adjustments. I tried calling but the wait time was over 30 minutes. Appreciate it.",billing
T-10032,chat,Support request,You split my order into two shipments and only one has any tracking movement. I paid with the card ending 4848??,shipping
T-10033,webform,Support request,"Hi there, The estimated delivery on my order keeps moving - it has changed twice this week. Thanks in advance.",shipping
T-10034,email,Payment issue,"Hello Northwind, Please cancel my Trail Club membership - I am still being billed $9.99 a month. Order number is NW-62082 if that helps. Thanks. — Jamie Nguyen",billing
T-10035,email,Need assistance,"Hey, Customs is asking me to pay $249.95 in import fees for order NW-54482 - was that supposed to happen. I have been a customer for three seasons and this is the first problem I have had. — Reese Patel",shipping
T-10036,webform,Need asisstance,When I log in my order history shows someone else's orders and charges. I already looked through the help center and could not find an answer.,account-access
T-10037,webform,Help,"Hey, The tracking says my order was delivered but I was charged for shipping insurance I never added. Order number is NW-78447 if that helps. Thank you.",billing
T-10038,webform,Tracking question,"Hi there, The estimated delivery on my order keeps moving - it has changed twice this week. I placed the order during the sale. Thanks.",shipping
T-10039,email,Membership billing,"Hi there, My return was received three days ago but the refund of $19.00 still is not back on my card. The order had the Lumen 400 headlamp and some smaller items in it. Hope you can help. — Avery Nguyen",billing
T-10040,email,Help,"Hi there, I received someone else's package with my label on it - I assume they have my Ridgeline 2P tent. Hope you can help. — Riley Chen",returns-warranty
T-10041,chat,Problem with my order,Is the Torrent rain jacket actuallly waterproof or just waetr resistant. I paid with the card endin 6733??,product-question
T-10042,chat,Billing question,you refunded the item but not the original shipping cost on order NW-75073. This is for an upcoming camping trip??,billing
T-10043,email,Question,"Hey, Where is my order? The Drifter paddle was supposed to arrive on Monday. I tried calling but the wait time was over 45 minutes. Appreciate it.",shipping
T-10044,email,Problem with my order,"Hey, The tracking page says delivered but there is no package anywhere at my address. I have been a customer for a long time and this is the first problem I have had. Thank you. — Devon Larsen",shipping
T-10045,webform,Question,"Hi there, I am past the 30 day window bbut the Puffin down vest has a manufacturing defect - does the warranty cover it. I placed the order last week. Please advise.",returns-warranty
T-10046,email,Order status,I paid $214.99 extra for two day shipping and it has been a week. Thanks in advance.,shipping
T-10047,email,Urgent,"Hi, The seam on my Lumen 800 headlamp failed after two uses - I want to make a warranty claim.",returns-warranty
T-10048,email,Support request,I changed phones and can no longer get the two factor authentication code. This is for an upcoming camping trip. Thank you. — Dana Garcia,account-access
T-10049,email,Return status,"Good morning, I am past the 30 day window but the Lumen 400 headlamp has a manufacturing defect - does the warranty cover it. I paid with the card ending 1240. Thanks.",returns-warranty
T-10050,email,Urgent,"Hey, Where is my order? The Glacier 45 cooler was supposed to arrive yesterday. you charged the wrong card - the order should have gone on the card ending 5866. my gift card balance shows $19.95 but checkout would not let me use it. The package was a gift for a friend. Thanks. — Jamie Patel",shipping
T-10051,webform,Support request,"Hi, My order history disappeared after I merged my old account with my new email. I paid with the card ending 3092. Thanks.",account-access
T-10052,webform,Support request,"Hello Northwind, My account seems to be locked after too many login attempts. the price of the dayhike 22 backpack dropped to $249.50 the day after i bought it - do you do price adjustments. I contacted you a few days ago about this and never heard back. Please advise.",account-access
T-10053,webform,Support request,"Good morning, My refund was approved but the replacement Aurora camp lantern still has no tracking number. I already looked through the help center and could not find an answer. Thanks.",shipping
T-10054,chat,Need assistance,the invoice in the box lists a Dayhike 22 backpack that is not what I was charged for online - which one is actually shipping to me. I need this sorted before the weekend,shipping
T-10055,chat,Damaged product,what is your return policy on sale items like the Riverbend sandals??,returns-warranty
T-10056,email,Double charged,"Hi there, There is a charge from Northwind on my statement for $118.95 that I do not recognize. I tried calling but the wait time was over 20 minutes. Hope you can help. — Avery Silva",billing
T-10057,email,Order status,"Hi, My package arrived with the box crushed and the Glacier 45c ooler inside looks zamaged. The packag was a gift for mys on. Please advise. — Jamie Chen",shipping
T-10058,chat,Order status,Can you hodl the shipment at a USPS pickup point iinstead of deliveringt to my door. I placed the order about ten days ago?,shipping
T-10059,email,Question,"Hi there, I keep getting logged out every time the app updates. This is for an upcoming family trip. — Jamie Brooks",account-access
T-10060,email,Problem with my order,"Hi, Can I change the delivery address on order NW-75460 before it ships. I tried calling but the wait time was over 20 minutes. Thanks in advance. — Skyler Kim",shipping
T-10061,webform,Where i smy order,The tracking page says delivered but there is no package anywhere at my address. the return label you emailed me shows the wrong delivery address for the warehouse. Appreciate it.,shipping
T-10062,email,Need assistance,I sent my return back three days ago and have not heard anything since. The package was a gift for my daughter. Appreciate it. — Rowan Ortiz,returns-warranty
T-10063,chat,Sizing question,Does the Otter dry bag comme with a repair kit. can i change the deliverya ddress on order nnw-62864 before it ships??,product-question
T-10064,chat,Urgent,How do I change the email address on my account - I no longer have access to the old one. I tried calling but the wait time was over 30 minutes?,account-access
T-10065,email,Return request,"Hello Northwind, Is the Summit 65 backpack still returnable if I washed it. the tracking says my order was delivered but i was charged for shipping insurance i never added. I have been a customer for a long time and this is the first problem I have had. Appreciate it. — Alex Ortiz",returns-warranty
T-10066,email,Support request,"Hey, If I refuse the package at delivery do I still have to pay return shipping. the summit 65 backpack does not fit - how do i exchange it for the next size down. i want to return the lumen 400 headlamp i bought with the summer20 promo code - do i get the full price or the discounted price back. This is for an upcoming family trip. Thank you. — Rowan Okafor",shipping
T-10067,chat,Tracking question,Where is my order? The Glacier 45 cooler was supposed to arrive last Friday. I contacted you last week about this and never heard back??,shipping
T-10068,chat,Support request,My refund was approved but the replacement Ridgeline 4P tent still has no tracking number. This is for an upcoming backpacking trip?,shipping
T-10069,email,Shizping delay,"Hi, USPS tracking shows my package has been sitting in Louisville for four days. Thanks.",shipping
T-10070,email,Problem with my order,Customs is asking me to pay $24.00 in import fees for order NW-53075 - was that supposed to happen. can i machine wash the windbreak fleece or is it dry clean only. can i machine wash the windbreak fleece or is it dry clean only. I paid with the card ending 8594. Please advise. — Quinn Whitfield,shipping
T-10071,webform,Question,"Hi, When I log in my order history shows someone else's orders and charges. This is for an upcoming family trip. Thanks in advance.",account-access
T-10072,webform,Problem with my order,"Hey, How long does shipping usually take to Hawaii if I order the Windbreak fleece today. fedex tracking shows my package has been sitting in memphis for ten days. Order number is NW-66096 if that helps. Thanks.",product-question
T-10073,email,Problem with my order,"Hi, My exchange shipped but tracking says it is going back to you instead of to me. I tried calling but the wait time was over 45 minutes. Appreciate it. — Taylor Kim",returns-warranty
T-10074,webform,2FA problem,"Good morning, The password reset emal nevr arrives - I have checked spam twice. if i refuse the package at delivery do i tsill have to pay return shipping. I tried calling but the wait time was over 30 minutes. Appreciate it.",account-access
T-10075,chat,Help,I received someone else's package with my label on it - I assume they have my Drifter 10 kayak. I paid with the card ending 8220?,returns-warranty
T-10076,webform,Support request,"Hello Northwind, The estimated delivery on my order keeps moving - it has changed three times this wee. i was charged a restocking fee of $19.00 on my return - nothing on the site mentioned that. I arleady looked through the help center and coul dnot find an answer. Please advise.",shipping
T-10077,email,Care instructions,"Hello Northwind, How long does shipping usually take to Hawaii if I order the Merino trail socks today. I have been a customer for three seasons and this is the first problem I have had. Hope you can help.",product-question
T-10078,email,Order status,"Hi, You splitm y order into two shipments and only one has any tracking movment. The order hadd the Voltpack 20K power bank and some smaller itesm in it. Appreciate it. — Dana Silva",shipping
T-10079,webform,Delivery problem,"Hey, My package arrived with the box crushed and the Windbreak fleece inside looks okay. I already looked through the help center and could not find an answer. Hope you can help.",shipping
T-10080,email,Help,"Hello, Can you hold the shipment at a USPS pickup point instead of delivering to my door. The order had the Cascade 0 sleeping bag and some smaller items in it. Appreciate it. — Casey Kaur",shipping
T-10081,webform,Urgent,"Hi, I cancelled order NW-75391 the same day after placing it but the charge of $312.00 still went through. The package was a gift for a friend. Thanks.",billing
T-10082,chat,Help,you charged the wrong card - the order should have gone on the card ending 4202. I need this sorted before Friday,billing
T-10083,webform,Package missing,"Good morning, I need the Lumen 800 headlamp before my trip on the 14th - can you expedite shipping. Thanks.",shipping
T-10084,email,Help,Can you hold the shipment at a UPS pickup point instead of delivering to my door. I placed the order last week. Thanks.,shipping
T-10085,email,Package missing,"Hey, My refund was approved but the replacement Anchor bear canister still has no tracking number. i want to return the aurora camp lantern from order nw-41682 for a refund. i was charged a restocking fee of $118.99 on my return - nothing on the site mentioned that. This is for an upcoming thru-hike. Appreciate it. — Devon Chen",shipping
T-10086,webform,Urgent,please call me back 620-555-4047,shipping
T-10087,email,Urgent,"Hello Northwind, You refunded the item but not the original shipping cost on order NW-63415. I tried calling but the wait time was over 30 minutes. Thanks. — Taylor Chen",billing
T-10088,webform,Change my email,"resending this - Hi, The email receipt went to my old address - I need to update where my invoices get sent. Hope you can help.",account-access
T-10089,email,Help,"Hey, Can you old the shipment at a UPS pickup point instead of delivering to my doo. Order number is NW-79951 if that helps. — Dana Brooks",shipping
T-10090,email,Problem with my order,"Hello, Do the Trailhaed hiking boots run true to size - I am uusally a 10.5. i want to return the windbreak fleece i bought with the trail15 promo code - do i get the full price ort he discounted price back. i sent my return back ten days ago and have not heard anythhing since. Order number is NW-68320 if that helps. Appreciate it.",product-question
T-10091,webform,Membership billing,"Hello Northwind, The promo code SUMMER20 did not apply at checkout and I was charged full price. I paid with the card ending 2893. Thank you.",billing
T-10092,email,Account security concern,"Hey, The verification link in the signup email says it has expired. I need this sorted before the weekend. Please advise. — Quinn Nguyen",account-access
T-10093,chat,Wrong item received,The Dayhike 22 backpack showed up scratched straight out of the box and I want a replacement. I contacted you last week about this and never heard back,returns-warranty
T-10094,email,Urgent,"Hi there, How long does the Lumen 400 headlamp run on a full charge at the highest brightness. I contacted you a few days ago about this and never heard back. Thanks in advance.",product-question
T-10095,chat,Support request,Is the Drifter 10 kayak stable enough for a beginner on flat water. y exchange shipped but tracking says iti s going back to you instead of to me??,product-question
T-10096,webform,Password reset not working,"Hey, Please delete my account and all my personal data. will the dayhike 22 backpack fit a 3l water bladder. I already looked through the help center and could not find an answer. Thanks.",account-access
T-10097,webform,Urgent,"Hello Northwind, Can I get an itemized receipt or invoice for order NW-67714 - I need it for my expense report. I have been a customer for years and this is the first problem I have had.",billing
T-10098,webform,Urgent,"Hello, What fuel does the Ember camp stove take and can I fly with the canister. i sent my return back ten days ago and have not heard anythipg since. Thanks.",product-question
T-10099,webform,Help,"Hi there, Can you hold the shipment at a FedEx pickup point instead of delivering to my door. I placed the order last week. Appreciate it.",shipping
T-10100,chat,Support request,what fuel does the Ember camp stove take and can I fly with the canister. The order had the Voltpack 20K power bank and some smaller items in it??,product-question
T-10101,chat,Wrong item received,The Trailhead trail runners showed up with a broken clip straight out of the box and I want ar eplcaaement. can the voltpack 20k power bank charge the lumen 800 headlamp over usb.,returns-warranty
T-10102,webform,Help,"Hey, If I refue the package at delivery do I still have o pay return shipping. This is for an upcoming canoe trip. Thanks in advance.",shipping
T-10103,webform,Question,"Hey, Customs is asking me to pay $118.95 in import fees for order NW-61451 - was that supposed to happen. Hope you can help.",shipping
T-10104,chat,Order sttatus,I need the Torrent rain jacket before Friday - can you expedite shipping. I tried calling but the wait time was over 30 minutes.,shipping
T-10105,email,Compatibility question,What is the temperature rating on the Cascade 20 sleeping bag really good down to. I contacted you last week about this and never heard back. Please advise. — Skyler Garcia,product-question
T-10106,chat,Help,I was charged a restocking fee of $118.95 on my return - nothing on the site mentioned that. I already looked through the help center and could not find an answer.,returns-warranty
T-10107,email,Need assistance,"Hello Northwind, I want to return the Cascade 0 sleeping bag I bought with the SUMMER20 promo code - do I get the full price or the discounted price back. — Riley Patel",returns-warranty
T-10108,email,Support request,"Good morning, Only half of order NW-67568 showed up - the Glacier 45 cooler is missing from the box. I have been a customer for years and this is the first problem I have had. Please advise. — Avery Novak",shipping
T-10109,webform,Change my email,"Hey, My order history disappeared after I merged my old account with my new email. I have been a customer for three seasons and this is the first problem I have had. Thanks in advance.",account-access
T-10110,webform,Order status,The rtacking page says delivered but there is no package anywhere at my address. This is for an upcoming thru-hike. Thank you.,shipping
T-10111,chat,Tracking question,dHL tracking shows my package has been sitting in Memphis for two days. the promo code summer20 did not apply at checkout and i was charged full price??,shipping
T-10112,chat,Help,is the Torrent rain pants actually waterproof or just water resistant. I paid with the card ending 1893?,product-question
T-10113,webform,Urgent,"Hi htere, The tracking says my order was delivered but I was chaged for shipping insurance I never added. This is for an upcoming thru-hike. Thanks.",billing
T-10114,chat,Spec question,is the Drifter 10 kayak stable enough for a beginner on a lake. The package was a gift for my daughter?,product-question
T-10115,email,Charge I do not recognize,"Hi there, I returned the Lumen 400 headlamp and the refund I got was $42.00 short of what I paid. when i log in my order history shows someone else's ordersa nd charges. I contacted you a few days ago about this and never heard back. Thank you.",billing
T-10116,email,Stock question,Is there a charge for the Trail Club membership that comes up at checkout. is the ridgeline 4p tent still returnable if i took the tags off. I contacted you last week about this and never heard back. Thanks in advance.,product-question
T-10117,webform,Delivery problem,"Hi, The tracking page says delivered but there is no package anywhere at my address. I contacted you a few days ago about this and never heard back. Appreciate it.",shipping
T-10118,webform,Care instructions,"Good morning, If the Glacier 45 cooler does not fit can I return it for free or is return shipping on me. I need this sorted before Friday.",product-question
T-10119,email,Help,"Hey, You sent the wrong item - I ordered the Cascade 0 sleeping bag and got a Riverbend sandals instead. I paid with the card ending 6760. Appreciate it.",returns-warranty
T-10120,email,Help,If the Dayhike 22 backpack does not fit can I return it for free or is return shipping on me. I already looked through the help center and could not find an answer. Appreciate it.,product-question
T-10121,chat,Problem with my order,the price of the Lumen 400 headlamp dropped to $19.00 the day after I bought it - do you do price adjustments. I contacted you last week about this and never heard back,billing
T-10122,email,Urgent,"Hey, You refunded te item but not th original shipping cost on order NW-48688 .Thank you.",billing
T-10123,webform,Invoice request,"Hello Northwind, You charged the wrong card - the order should have gone on the card ending 8216. I placed the order during the sale.",billing
T-10124,email,Need assistance,"Hi, I cancelled order NW-41422 the same day ater placing it but the charge of$ 89.00 stil went through. The package was a gift for my daugter. — Jamie Whitfield",billing
T-10125,webform,Exchange needed,"Hey, Please cancel the exchange on order NW-55717 - I just want my money back on the return instead. I need this sorted before the weekend. Thank you.",returns-warranty
T-10126,email,Support request,"Good morning, The estimated delivery on my order keeps moving - it has changed three times this week. I paid with the card ending 5790. Thanks.",shipping
T-10127,chat,2FA problem,when I log in my order history shows someone else's orders and charges. I contacted you last week about thisa nd never heardb ack??,account-access
T-10128,chat,Question,If I refuse the package at delivery do I still have to pay return shipping. I have been a customer for a long time and this is the first problem I have had,shipping
T-10129,chat,Help,i aws charged sales tax on order NW-72005 but my state does not tax clothing. I placedd the order last week.,billing
T-10130,email,Help,"Hi there, I sent my return back ten days ago and have not heard anything since. Order number i NW-50245 if that hlps. Hope ooyu can help. — Morgan Patel",returns-warranty
T-10131,email,Before I buy,"Good morning, Is the Ridgeline 4P tent a true 3-season tent or more of a summer shelter. Order number is NW-64109 if that helps. Thanks in advance. — Kai Ortiz",product-question
T-10132,email,Problem with my order,Please cancel the exchange on order NW-54427 - I juut want my money back on the return instead. Appreciate it. — Avery Ortiz,returns-warranty
T-10133,email,Return request,"Hey, Is the Aurora camp lantern still returnable if I used it once. i cannot open thc tracking link for my odrer without signing in and the sign in page just loops. The order had the Drifter paddle and some smaller items in it. Thank you.",returns-warranty
T-10134,chat,Problem with my order,I was charged sales tax on order NW-59775 but my state does not tax clothing. I need this sorted before the weekend?,billing
T-10135,email,Damaged product,"Hello Northwind, I was charged a restocking fee of $42.99 on my return - nothing on the site mentioned that. I paid with the card ending 2620. Thanks.",returns-warranty
T-10136,chat,Question,The email receipt went to my old akdress - I need to update where my invoices get sent. This is for an upcoming backpacking trip,account-access
T-10137,chat,Package missing,The estimated delivery on my order keeps moving - it has changed three times this week. I contacted you a few days ago about this and never heard back.,shipping
T-10138,webform,Warranty claim,"Hi, I sent my return back a week ago and have not heard anything since. Please advise.",returns-warranty
T-10139,email,Question,"Hi, When will the Halo climbing helmet be back in stock in large. there is a charge from northwind on my statement for $89.00 that i do not recognize. can i get an itemized receipt or invoice for orde nw-75162 - i need it for taxes. I tried calling but the wait time was over 30 minutes. Thanks. — Kai Brooks",product-question
T-10140,email,Problem with my order,"Hi there, I was charged sales tax on order NW-57535 but my state does not tax clothing. Thanks. — Casey Novak",billing
T-10141,chat,Change my email,resending this - The password reset email never arrivse - I have checked spam several times. I have been a custmoer for three seasons and this s the first proble I have had?,account-access
T-10142,chat,Support request,My order history disappeared after I merged my old account with my new email. I paid with the card ending 9325.,account-access
T-10143,webform,Urgent,"Hi, The tracking page says delivered but there is no package anywhere at my address. I already looked through the help center and could not find an answer. Appreciate it.",shipping
T-10144,email,Wrong item received,"Hi, The return label you emailed me shows the wrong delivery address for the warehouse. I paid with the card ending 4964. Appreciate it. — Devon Chen",returns-warranty
T-10145,chat,Membership billing,Why was I charged $129.00 for shipping when the site says orders over $75 ship free. will the dayhike 22 backpack fit a 3l water bladder?,billing
T-10146,webform,Order status,"Hello, Only half of order NW-53682 showed up - the Aurora camp lantern is missing from the box. This is for an upcoming camping trip. Please advise.",shipping
T-10147,email,Account locked,"Hello Northwind, The verification link in the signup email says it has expired. I placed the order about ten days ago. Thanks. — Jordan Garcia",account-access
T-10148,email,Billing question,"Good morning, I returned the Cirrus trekking poles and the refund I got was $214.95 short of what I paid. Hope you can help. — Devon Nguyen",billing
T-10149,email,Return request,"Hello Northwind, The pole on my Cascade 20 sleeping bag failed after one weekend - I want to make a warranty claim. The order had the Lumen 800 headlamp and some smaller items in it. Hope you can help. — Jordan Novak",returns-warranty
T-10150,email,Shipping delay,"Good morning, My order NW-47899 was placed ten days ago and the tracking still says label created. I contacted you a few days ago about this and never heard back.",shipping
T-10151,email,Login trouble,"Hey, When I log in my order history shows someone else's orderrs and charges. Pelase advise. — Skyler Silva",account-access
T-10152,email,Charge I do not recognize,"Good morning,  Iwas charged sales tax on ordder NW-49282 but my state does not tax clothing. I have been a customer for there seasons andt his is the first problem I have had. Thank you.",billing
T-10153,email,Delivery problem,"Hi there, The invoice in the box lists a Ridgeline 2P tent that is not what I was charged for online - which one is actually shipping to me. I contacted you a few days ago about this and never heard back. Thanks in advance.",shipping
T-10154,webform,Need assistance,"Hi there, Does the Firefly bug net come with a warranty. I contacted you last week about this and never heard back.",product-question
T-10155,email,Payment issue,Can I get an itemized receipt or invoice for order NW-50946 - I need it for my expense report. I already looked through the help center and could not find an answer. Thanks. — Rowan Garcia,billing
T-10156,email,Support request,"Hi there, Is the Torrent rain pants actually waterproof or just wacer resistant. you split my order into two shipments and only one has any tracking movement. The package was a gift for a friend. Appreciate it. — Quinn Chen",product-question
T-10157,webform,Need assistance,"Hello, What is your return policy on sale items like the Basecamp camp chair. I paid with the card ending 5998. Appreciate it.",returns-warranty
T-10158,webform,Wrong item received,I want to return the Summit 65 backpack I bought with the SUMMER20 promo code - do I get the full price or the discounted price back. I placed the order on the 3rd. Thanks in advance.,returns-warranty
T-10159,email,Urgent,"Good morning, My package arrived with the box crushed and the Aurora camp lantern inside looks okay. I have been a customer for years and this is the first problem I have had. Thank you. — Kai Ortiz",shipping
T-10160,chat,Need assistance,i was charged a restocking fee of $149.00 on my return - nothing on the site mentioned that. I already looked through the help center and could not find an answer,returns-warranty
T-10161,chat,Help,my exchange shipped but tracking says it is going back to yo uinstead of to me. if the ridgeline 4p tent does not fit can i return t for free or is return shippig on me?,returns-warranty
T-10162,webform,Billing question,"Hi there, My account shows an order I already cancelled and the charge is still pending on my card. I tried calling but the wait time was over 20 minutes. Please advise.",billing
T-10163,email,Promo code problem,"Hi, Can I get an itemized receipt or invoiec for order NW-62534 - I need it for my expense report. I tried calling but the wait time was over 20 minutes. Thank you. — Riley Silva",billing
T-10164,chat,Need assistance,my account shows an order I already cancelled and the charge is still pending on my card. Order number is NW-73083 if that helps??,billing
T-10165,email,Urgent,The Basecamp camp chair showed up with a hole n it stragiht out of the box and I want a replacement. Ordre number is NW-79047 if that helps. hank you.,returns-warranty
T-10166,webform,Need assistance,"Hi, I returned the Summit 65 backpack and the refund I got was $24.95 short of what I paid. I tried calling but the wait time was over 45 minutes. Thanks.",billing
T-10167,email,Help,"Hello Northwind, My exchange shipped but tracking says it is going back to you instead of to me. i need the torrent rain pants before friday - can you expedite shipping. fedex tracking shows my package has been sitting in memphis for a week. The order had the Cascade 20 sleeping bag and some smaller items in it. — Reese Garcia",returns-warranty
T-10168,webform,Question,"Hey, Does the Puffin down vest ever go on sale - it was cheaper during the last promo. Order number is NW-58298 if that helps. Please advise.",product-question
T-10169,email,Help,"Hello Northwind, My account seems to be locked after too many login attempts. The package was a giftf or my daughter. Thank you.",account-access
T-10170,email,Wrong item received,"Hi there, You sent the wrong item - I ordered the Anchor bear canister and got a Firefly bug net instead. This is for an upcoming family trip. — Alex Chen",returns-warranty
T-10171,chat,Help,Is the Torrent rain jacket actually waterproof or just water resistant. I already looked through the help center and could not find an answer.,product-question
T-10172,email,Question,"Good morning, Does the Cascade 20 sleeping bag coem with a rainfly. This is for an upcoming camping trip. Hope you acn help. — Sam Patel",product-question
T-10173,webform,Package missing,"Hi there, My order NW-45673 was placed two weeks ago and the tracking still says label created. I already looked through the help center and could not find an answer. Please advise.",shipping
T-10174,webform,Urgent,"Hi there, Can I change the delivery address on order NW-67534 before it ships. Order number is NW-71525 if that helps. Please advise.",shipping
T-10175,email,Need assistance,The estimated delivery on my order keeps moving - it has changed twice this week. I contacted you a few days ago about this and never heard back. Please advise. — Taylor Silva,shipping
T-10176,webform,Urgent,"Hi there, How long does shipping usually take to Hawaii if I order the Windbreak fleece today. I contacted you a few days ago about this and never heard back. Please advise.",product-question
T-10177,email,Urgent,"Hi there, If I refuse the package at delivery do I still have to pay return shipping. I have been a customer for three seasons and this is the first problem I have had. Please advise.",shipping
T-10178,chat,Order not delivered,Only half of order NW-74736 showed up - the Ridgeline 2P tent is missing from the box. I already looked through the help center and could not find an answer?,shipping
T-10179,chat,Need assistance,Customs is asking me to pay $129.99 in import fees for order NW-74599 - was that supposed to happen,shipping
T-10180,webform,Question,"Hey, You refunded the item but not the original shipping cost on order NW-69023. Thanks in advance.",billing
T-10181,webform,Suppot request,My exchange shipped but tracking says it is going back to you instead of to me. I placed the order on the 3rd. Appreciate it.,returns-warranty
T-10182,email,Problem with my order,My account shows an order I already cancelled and the charge is still pending on my card. i keep getting logged out every time the app updates. Thanks in advance. — Reese Novak,billing
T-10183,email,Support request,"Hey, The password reset email never arrives - I have checked spam several times. I have been a customer for years and this is the first problem I have had. Thanks in advance.",account-access
T-10184,email,Urgent,"Good morning, My account shows aan order I already cacelled and the charge is still pending on my card. I paid with the card ending 4213. Appreciate it. — Morgan Chen",billing
T-10185,email,Support request,"Good morning, The tracking page says delivered but there is no package anywhere at my address. I have been a customer for a long time and this is the first problem I have had. Please advise.",shipping
T-10186,chat,Problem with my order,The password reset email never arrives - I have checked spam twice. I already looked through the help center and could not find an answer?,account-access
T-10187,email,Cannot log in,"Hi, My ordeer history disappeared after I mergd my old account with my new emial. I pllaced the order on the 3rd. — Sam Novak",account-access
T-10188,chat,Return status,Is the Puffin down vest still returnable if I opened the packaging. I already looked through the help center and could not find an answer.,returns-warranty
T-10189,chat,Wrong item received,you seent the wrong ite m- I ordered the Lumen 400 headlamp and got a Torrent rain ants instead,returns-warranty
T-10190,webform,Need assistance,"Hey, I cannot log in to my account - it keeps saying my password is wrong even after I reset it. my gift card balance shows $24.00 but checkout would not let me use it. I have been a customer for a long time nd this is the first problem I have had. Thanks in advance.",account-access
